fit	chains	retained_draws	max_split_rhat	min_bulk_ess	min_tail_ess	divergences	divergence_percent
noncentered	1	10000	1.0008585548123807	1921.6518596700096	2159.834239494888	99	0.99
selected_partial	1	10000	1.0013072784557777	2436.238172904102	2783.316240288371	36	0.36
