point	log_rho	original_value	brm_value	density_absolute_error	max_gradient_absolute_error
1	-4.0	-253.63394558594194	-253.63394558594194	0.0	1.2878587085651816e-14
2	-2.0	-238.89973231246688	-238.8997323124669	2.842170943040401e-14	2.531308496145357e-14
3	-1.0	-245.31754791183687	-245.31754791183684	2.842170943040401e-14	2.7172708527700706e-14
4	-0.5	-271.4267034577469	-271.4267034577469	0.0	4.263256414560601e-14
5	0.0	-273.4761008010832	-273.4761008010832	0.0	2.842170943040401e-14
6	0.5	-256.7703475822596	-256.77034758225966	5.684341886080802e-14	4.263256414560601e-14
