point	density_error	gradient_error
1	4.3655745685100555e-11	9.402252626527933e-8
2	3.637978807091713e-11	9.326084351221315e-8
3	2.546585164964199e-11	1.1076109347810981e-7
4	7.275957614183426e-12	5.400224841198694e-8
5	2.1827872842550278e-11	1.0841406999094343e-7
6	2.9103830456733704e-11	8.104299055809168e-8
7	1.8189894035458565e-11	8.350295978262701e-8
8	2.9103830456733704e-11	1.517232716742225e-7
