point	density_error	gradient_error
1	7.639755494892597e-11	1.2624939369973255e-7
2	7.275957614183426e-11	2.9615288295093494e-8
3	6.912159733474255e-11	3.888490662714468e-8
4	7.275957614183426e-11	5.1160323356353415e-8
5	6.912159733474255e-11	1.6758932840398787e-7
6	7.639755494892597e-11	7.923433079613091e-8
7	6.912159733474255e-11	6.160851160981378e-8
8	7.639755494892597e-11	5.080218828845581e-8
