point	density_error	gradient_error
1	4.729372449219227e-11	1.1277235233660693e-7
2	3.637978807091713e-11	4.5501718839137934e-8
3	2.1827872842550278e-11	2.4975856102228686e-8
4	3.637978807091713e-12	1.961166785436883e-8
5	2.1827872842550278e-11	3.6739781815759574e-8
6	2.9103830456733704e-11	7.043560958992305e-8
7	2.1827872842550278e-11	6.462425840943302e-8
8	2.9103830456733704e-11	3.141731356644701e-8
