point	log_scale	original_value	brm_value	density_absolute_error	max_gradient_absolute_error
1	-4.0	-23659.356606693218	-23659.35660669331	9.094947017729282e-11	6.366462912410498e-11
2	-2.5	-22566.590102784467	-22566.59010278455	8.36735125631094e-11	8.549250196665525e-11
3	-1.0	-21993.280933042526	-21993.280933042464	6.184563972055912e-11	9.094947017729282e-12
4	-0.3	-21860.605876514688	-21860.605876514768	8.003553375601768e-11	1.546140993013978e-11
5	0.0	-21877.326418405028	-21877.32641840517	1.418811734765768e-10	5.6843418860808015e-12
6	0.4	-22203.705457031803	-22203.70545703167	1.3460521586239338e-10	1.9326762412674725e-11
