role	county	draw	centeredness	density_absolute_error	target_gradient_absolute_error	displayed_gradient_fd_error	roundtrip_absolute_error
intercept	1	1	0.85	1.8189894035458565e-12	0.0	2.1799368310482237e-7	4.440892098500626e-16
intercept	193	1	0.5	1.8189894035458565e-12	2.220446049250313e-16	7.763396214777174e-8	4.440892098500626e-16
intercept	386	1	0.75	1.8189894035458565e-12	1.021405182655144e-14	6.178047362581651e-8	4.440892098500626e-16
slope	1	1	0.6	1.8189894035458565e-12	0.0	9.092506125796262e-8	4.440892098500626e-16
slope	193	1	0.12	1.8189894035458565e-12	5.551115123125783e-17	4.1960126873075154e-8	4.440892098500626e-16
slope	386	1	0.5	1.8189894035458565e-12	3.1086244689504383e-15	1.173627399708721e-7	4.440892098500626e-16
