fit	chains	retained_draws	max_split_rhat	min_bulk_ess	min_tail_ess	divergences	divergence_percent
noncentered	1	10000	1.0044553818822262	356.2064220811934	826.7892953984016	0	0.0
selected_partial	1	10000	1.00257293642112	475.7392254511738	876.2802245134556	0	0.0
online	1	10000	1.0013074910119697	364.75326606743715	640.0692263125192	0	0.0
