fit	total_nuts_gradient_evaluations	sampling_gradient_evaluations	fit_seconds	julia_compile_seconds	min_bulk_ess	min_tail_ess	min_bulk_ess_per_total_gradient	min_tail_ess_per_total_gradient	min_bulk_ess_per_sampling_gradient	min_tail_ess_per_sampling_gradient	parameter_scope	counter_scope	evidence
noncentered	164766	160352	89.121185792	23.616957948	356.2064220811934	826.7892953984016	0.0021618927574936176	0.0050179605950159715	0.0022214030512946108	0.005156089698902425	all_777_unconstrained_returned_model_coordinates	NUTS_steps_including_warmup_and_discarded_epochs_excluding_initializer	final_checkpoint_and_returned_result_agree
partial	152152	150000	92.581688779	23.927175074	475.7392254511738	876.2802245134556	0.0031267365887479217	0.00575924223482738	0.003171594836341159	0.005841868163423037	all_777_unconstrained_returned_model_coordinates	NUTS_steps_including_warmup_and_discarded_epochs_excluding_initializer	final_checkpoint_and_returned_result_agree
online	154427	150000	175.81820011	0.079803233	364.75326606743715	640.0692263125192	0.0023619785793121484	0.00414480127382206	0.002431688440449581	0.004267128175416794	all_777_unconstrained_returned_model_coordinates	NUTS_steps_including_warmup_and_discarded_epochs_excluding_initializer	final_checkpoint_and_returned_result_agree
posthoc_workflow_pilot_plus_refit	316918	310352	181.702874571	47.544133022	475.7392254511738	876.2802245134556	0.0015011429626943682	0.002765006167252903	0.0015329020771613323	0.002823504357998194	returned_model_frame_refit_minimum_over_all_777_coordinates_charged_for_pilot_plus_refit	NUTS_steps_including_warmup_and_discarded_epochs_excluding_initializer	charge_the_pilot_when_assessing_the_posthoc_workflow
