panel	column	draw	log_group_sd	coordinate
1: region 1 intercept, rho=0.80	2. NCP	21	0.18947749961840418	-0.2338930347736154
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	21	0.18947749961840418	-0.26380561874540864
1: region 1 intercept, rho=0.80	1. CP	22	-0.36456183755516103	0.16357043855782064
1: region 1 intercept, rho=0.80	2. NCP	22	-0.36456183755516103	0.2355222884281076
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	22	-0.36456183755516103	0.16524328848946745
1: region 1 intercept, rho=0.80	1. CP	23	-0.48971727602161236	0.14588320997323295
1: region 1 intercept, rho=0.80	2. NCP	23	-0.48971727602161236	0.23806021501206823
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	23	-0.48971727602161236	0.14656524051377318
1: region 1 intercept, rho=0.80	1. CP	24	0.3396240211825839	-0.03835877468851451
1: region 1 intercept, rho=0.80	2. NCP	24	0.3396240211825839	-0.027312904584152795
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	24	0.3396240211825839	-0.01984520544996038
1: region 1 intercept, rho=0.80	1. CP	25	0.5524376871609092	0.9881518368628632
1: region 1 intercept, rho=0.80	2. NCP	25	0.5524376871609092	0.5687259478147935
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	25	0.5524376871609092	0.9161751576568274
1: region 1 intercept, rho=0.80	1. CP	26	0.024057694552473894	1.4205203653386842
1: region 1 intercept, rho=0.80	2. NCP	26	0.024057694552473894	1.3867537226567606
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	26	0.024057694552473894	1.4149819596150996
1: region 1 intercept, rho=0.80	1. CP	27	-0.010182165714264196	2.1500424116829917
1: region 1 intercept, rho=0.80	2. NCP	27	-0.010182165714264196	2.1720463334934275
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	27	-0.010182165714264196	2.153784790658138
1: region 1 intercept, rho=0.80	1. CP	28	0.8385973278934272	1.6174401311005657
1: region 1 intercept, rho=0.80	2. NCP	28	0.8385973278934272	0.6992460509860139
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	28	0.8385973278934272	1.4350452769311237
1: region 1 intercept, rho=0.80	1. CP	29	-0.35661200197439424	0.17078414295592528
1: region 1 intercept, rho=0.80	2. NCP	29	-0.35661200197439424	0.2439619911496853
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	29	-0.35661200197439424	0.16660814539858798
1: region 1 intercept, rho=0.80	1. CP	30	0.1947924612981034	0.8703187985153653
1: region 1 intercept, rho=0.80	2. NCP	30	0.1947924612981034	0.7162771107730946
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	30	0.1947924612981034	0.8514043789815582
1: region 1 intercept, rho=0.80	1. CP	31	0.46284989426024664	0.9519736780837528
1: region 1 intercept, rho=0.80	2. NCP	31	0.46284989426024664	0.5992551642165463
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	31	0.46284989426024664	0.9088164770254152
1: region 1 intercept, rho=0.80	1. CP	32	0.13824375252441257	0.4961566160696753
1: region 1 intercept, rho=0.80	2. NCP	32	0.13824375252441257	0.43209604182073447
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	32	0.13824375252441257	0.4870643197345597
1: region 1 intercept, rho=0.80	1. CP	33	-0.3107658402835896	1.2266906831868452
1: region 1 intercept, rho=0.80	2. NCP	33	-0.3107658402835896	1.673782243876367
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	33	-0.3107658402835896	1.2895525974891753
1: region 1 intercept, rho=0.80	1. CP	34	-0.2005531573660262	1.0842134209449088
1: region 1 intercept, rho=0.80	2. NCP	34	-0.2005531573660262	1.324993990286559
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	34	-0.2005531573660262	1.1184674185813184
1: region 1 intercept, rho=0.80	1. CP	35	-0.49169370696975323	0.5913657756974228
1: region 1 intercept, rho=0.80	2. NCP	35	-0.49169370696975323	0.9669322613985961
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	35	-0.49169370696975323	0.638353493740044
1: region 1 intercept, rho=0.80	1. CP	36	-0.4207482015479767	0.3247001520614574
1: region 1 intercept, rho=0.80	2. NCP	36	-0.4207482015479767	0.4945510339985626
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	36	-0.4207482015479767	0.34650751201562724
