arm	parameter	mean	mcse	bulk_ess	mean_difference_mcse
ordinary_ncp_native	population_intercept_at_mean_log_sat	3.4468522725943886	0.021608852093851993	752.4695161110583	1.1001452216144754
ordinary_ncp_native	population_log_sat_slope	0.28317598618585704	0.004937957698226857	687.3172705184242	1.472750680156876
ordinary_ncp_native	group_sd_1	1.1269160169397172	0.019069525312847994	726.1167677200781	0.6264102778114854
ordinary_ncp_native	group_sd_2	0.2701963877455074	0.005128409544424243	731.330204082001	0.4611170092724549
ordinary_ncp_native	residual_sd	0.37018828169401163	7.321851127696387e-5	2224.147839964053	0.7613274598639859
ordinary_ncp_native	region_1_total_intercept	3.306470569092254	0.015720799638896894	1664.3501007546831	0.8253364289932495
ordinary_ncp_native	region_2_total_intercept	1.3959477683593047	0.0005315181911442067	1950.089612517519	1.0361239574023624
ordinary_ncp_native	region_3_total_intercept	1.9480395269810917	0.0014568569055369654	1927.9229602002724	0.13323730802404324
ordinary_ncp_native	region_4_total_intercept	2.9429284717505846	0.0020340215171958617	2173.8611590289115	0.8323879235935785
ordinary_ncp_native	region_5_total_intercept	3.1513548575761527	0.0025451728988713737	2212.9347779369486	1.0006102336381932
ordinary_ncp_native	region_6_total_intercept	3.284902920968337	0.01615108875014898	1808.4635714905053	1.5824607699983515
ordinary_ncp_native	region_1_total_slope	0.26127332471149733	0.004058564901742758	1687.5731322668776	0.7542131312812994
ordinary_ncp_native	region_2_total_slope	0.45044970526560824	0.0002179507327985742	1955.1923824966104	0.9291112475671405
ordinary_ncp_native	region_3_total_slope	0.5065148215676448	0.000375192060097938	1885.5653216229443	0.07925188218683128
ordinary_ncp_native	region_4_total_slope	0.08082044665169194	0.0006640339931690392	2257.098958392156	0.67972835205815
ordinary_ncp_native	region_5_total_slope	0.1339474270711577	0.000843237248538583	2230.3515222185983	0.9473295253205063
ordinary_ncp_native	region_6_total_slope	0.3362604411792887	0.004214583997438293	1790.9541613561098	1.596135221704925
ordinary_ncp_whmc	population_intercept_at_mean_log_sat	3.4490905770285707	0.0231166185470766	562.4038512884381	0.962279297901089
ordinary_ncp_whmc	population_log_sat_slope	0.2908611134444498	0.004139732215027912	880.2765316334984	0.1576502966791362
ordinary_ncp_whmc	group_sd_1	1.1442577448078837	0.0216946554100932	541.9673711033796	1.2383173883570961
ordinary_ncp_whmc	group_sd_2	0.26542112730401685	0.004978151541840991	646.3403065590604	0.2607417012164742
ordinary_ncp_whmc	residual_sd	0.37022660712818545	7.257594377858228e-5	2003.0448669920656	1.161612736683269
ordinary_ncp_whmc	region_1_total_intercept	3.3431129004150075	0.014990591977621419	1790.0341849368895	0.8615330155142357
ordinary_ncp_whmc	region_2_total_intercept	1.3956115112691967	0.0005310598594648053	2141.0473933866297	0.5498740720649233
ordinary_ncp_whmc	region_3_total_intercept	1.9487786359520327	0.0013042146996558824	2130.638884809966	0.4889462020581558
ordinary_ncp_whmc	region_4_total_intercept	2.9432630529842756	0.001989617856982374	2222.7101111818056	0.954708830310008
ordinary_ncp_whmc	region_5_total_intercept	3.1552379639384425	0.0025013713503163264	2204.979898422663	0.12966819400948842
ordinary_ncp_whmc	region_6_total_intercept	3.255107461402963	0.015259419359176999	1952.9324371842326	0.26222640228235106
ordinary_ncp_whmc	region_1_total_slope	0.2523933089465257	0.003878526746472227	1798.9566867694332	0.8167032547274045
ordinary_ncp_whmc	region_2_total_slope	0.4504676763144565	0.0002243119900190059	2021.503476256751	0.851665001466403
ordinary_ncp_whmc	region_3_total_slope	0.5064593602265964	0.0003344977302691385	2136.401470922209	0.1847656639631304
ordinary_ncp_whmc	region_4_total_slope	0.08061239976515262	0.0006555375222238337	2283.6417966398885	0.8962644154752906
ordinary_ncp_whmc	region_5_total_slope	0.13224556354424527	0.0008259758379194141	2227.7650256041516	0.5554771633760135
ordinary_ncp_whmc	region_6_total_slope	0.34586597898399385	0.003948765450827712	1960.1637235849803	0.04114314594206542
