panel	region	margin	centeredness	parameter
1: region 1 intercept, c=0.60	1	1	0.6	total_mu.1.1
2: region 6 intercept, c=0.70	6	1	0.7	total_mu.6.1
3: region 2 intercept, c=1.00	2	1	1.0	total_mu.2.1
