parameter	bulk_ess	mean_ess	mcse	posterior_mean	posterior_sd
population_intercept_at_mean_load	74.49696772494585	73.76991086052794	51.962760156795596	5442.922935716378	446.3050913449199
population_load	542.1722360457748	548.2965957405647	0.6525215303657894	59.0044546993009	15.279270542264587
log_tau_intercept	142.04985843099809	154.46947879571948	0.012683194210680714	7.79863149065233	0.15763403164276035
log_tau_load	460.87480303894426	457.1053461665094	0.010151451755421296	4.111207671463991	0.21703826315576003
log_sigma_intercept	1758.9648775588355	1751.5252009440683	0.00035260534565845333	6.051494169134143	0.014756966360621444
log_sigma_subj_slope	2632.663336007037	2631.387054799441	5.5173891736945504e-5	0.07817435376450198	0.002830257730444974
deviation_intercept[701]	73.91639653625744	73.05782905344445	53.172625349149584	-4682.620888454063	454.4870207421277
deviation_intercept[702]	73.00501697029918	72.42073754521459	52.58703749738733	-3741.3042869335404	447.5176589347473
deviation_intercept[703]	73.0415887502042	72.4969257248054	52.69091470186862	-3461.233059320502	448.6374599479608
deviation_intercept[704]	72.95065098211512	72.28633611782521	53.032336530991515	-480.0238515458296	450.8881985727397
deviation_intercept[705]	74.24210558895788	73.45554958028144	52.57471541654935	-1175.3784662427067	450.59797613485796
deviation_intercept[706]	74.52411140775874	73.89770092671466	52.31601604209928	216.7118907187761	449.72820738361185
deviation_intercept[707]	74.28118172731352	73.61988980512422	52.362106274129204	85.78562517171301	449.2775205139172
deviation_intercept[708]	73.58732502315392	72.73646505248537	52.94674346162371	-276.6465321872919	451.5598800198922
deviation_intercept[709]	74.31370183212921	73.79078183902168	52.33661921679797	-968.0424391523281	449.57972886928906
deviation_intercept[710]	74.96267906353171	74.22110932825103	52.42303926536716	358.06897790606274	451.6332588825207
deviation_intercept[711]	74.5232631895658	73.78077827076969	52.68720934444247	-1560.5690578374908	452.5606736092365
deviation_intercept[712]	74.88137513003947	73.8869701748855	52.52513261722423	1266.1939103631516	451.49306791327473
deviation_intercept[713]	72.75465999823122	71.91143458299442	53.76838750200628	4059.0984629952163	455.9592059497531
deviation_intercept[714]	74.65880213112732	74.21777143346405	52.679257018426924	322.43041688259166	453.83041247058907
deviation_intercept[715]	73.27835254397566	72.76632217960614	53.84609386427387	1088.8079308848278	459.3242942468347
deviation_intercept[716]	75.80297218023748	75.4089675917503	53.92435966265403	931.9792964052581	468.2701712625392
deviation_intercept[717]	78.30276380700549	77.29332763015255	51.68618196387743	1659.4613894725494	454.40746220270375
deviation_intercept[718]	76.6975329234496	75.9667534484945	53.041271681063265	1483.7149563587122	462.30193494145
deviation_intercept[719]	77.85141101380911	76.99786923826481	52.470929498514415	4865.480227346652	460.4241671088094
deviation_intercept[720]	78.74435011600674	77.8518896924566	52.38621620146492	3471.154943721111	462.22306206214887
deviation_load[701]	706.7950652870512	702.755986492664	0.8376875838108678	-22.842879929612273	22.20671686306582
deviation_load[702]	743.1048662846006	741.9572221297077	0.6800794706919946	-36.45308687332648	18.524611063122013
deviation_load[703]	662.6220051409449	669.082366900499	0.7266681274959745	-38.10048764032543	18.79645304915175
deviation_load[704]	770.5671846374845	771.256894447218	0.7082160361438893	10.783863775128546	19.66823034630814
deviation_load[705]	914.8698969494561	906.4838141851968	0.6881082616340212	-21.48098095791295	20.717473838638075
deviation_load[706]	770.7956760791129	764.855457909619	0.7646977184230884	-6.422498112041489	21.148495611292738
deviation_load[707]	833.9721679591502	838.5331906065078	0.7540328753902664	-0.9986687448645792	21.834859914659738
deviation_load[708]	1032.4254999342336	1029.2847336259601	0.6908902162878545	-25.357946249050148	22.16546304727192
deviation_load[709]	1024.0000331555277	1026.8692985253113	0.7389984689275645	-44.17879829729562	23.681059191980413
deviation_load[710]	1071.8204546294523	1082.3445322116522	0.7709605401992748	-74.51951761036351	25.36383469284963
deviation_load[711]	832.213645905691	845.9397044949816	0.8930694945438742	13.111299069987028	25.974964315848418
deviation_load[712]	1063.207287328461	1049.4203952943333	0.8829357850750968	116.13553239230954	28.602491760473864
deviation_load[713]	904.3853536295909	910.6329511066749	0.935360738174754	-12.372654686580812	28.226096175562947
deviation_load[714]	1289.4631012276327	1285.5149862821127	0.7925811028748496	-3.987983676131512	28.417265535447118
deviation_load[715]	1085.9931071448882	1062.0077408853942	0.9471500544038285	-41.67629008250713	30.866161890289618
deviation_load[716]	1271.8044408443975	1320.7576466688886	1.0861865736728962	-31.134083756940186	39.47444176472036
deviation_load[717]	1160.3015486130878	1153.7793851772692	1.0119367314365368	92.23560692517654	34.37278707628778
deviation_load[718]	1193.912116724152	1168.6544485592	1.1074283919851156	111.96280614176307	37.85809109863317
deviation_load[719]	1181.0720952029635	1168.7718884115618	1.0926066785025832	-30.971621611791655	37.353278805657666
deviation_load[720]	1515.3536642250394	1539.7501492924566	0.979880850290171	45.80869192800396	38.45018182147024
population_intercept_at_load0	72.88479104277812	72.37787532151	52.635459990283685	5295.7560798977	447.79716290566876
log_sigma_intercept_at_subject0	2630.70784012805	2633.0053361242813	0.03919624757522234	-49.513103177393816	2.011269935306212
