arm	recovery_seed	scope	min_bulk_ess	limiting_parameter	min_bulk_ess_per_1000_sampling_gradients	min_bulk_ess_per_1000_all_gradients
brms_ncp	0	original_physical46	72.75465999823122	deviation_intercept[713]	0.47016750460916373	0.4360091091494994
brms_ncp	0	original_physical_plus_raw_intercepts48	72.75465999823122	deviation_intercept[713]	0.47016750460916373	0.4360091091494994
brms_ncp	0	original_stan_ncp46	66.21897715606468	z_intercept[704]	0.4279315063529273	0.3968416214069138
scaled_total	101	original_physical46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	101	original_physical_plus_raw_intercepts48	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	101	original_stan_ncp46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	102	original_physical46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	102	original_physical_plus_raw_intercepts48	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	102	original_stan_ncp46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	103	original_physical46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	103	original_physical_plus_raw_intercepts48	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	103	original_stan_ncp46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	104	original_physical46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	104	original_physical_plus_raw_intercepts48	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	104	original_stan_ncp46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	105	original_physical46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	105	original_physical_plus_raw_intercepts48	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
scaled_total	105	original_stan_ncp46	98.87039931613431	log_tau_intercept	1.2097494043184014	1.126394450830914
