arm	recovery_seed	parameter	conditional_noise_variance_fraction	conditional_mean_bulk_ess	recovered_bulk_ess	conditional_mean_mean_ess	recovered_mean_ess	conditional_mean_mcse	recovered_mcse	predicted_recovered_mcse	recovered_mean	conditional_mean	posterior_sd_from_total_variance
scaled_total	101	population_intercept_at_mean_load	0.9996713313630762	2213.008920746509	2030.3970363733326	2246.6521065101056	2025.9868294006026	0.21183654393158427	12.741277803819733	12.384167883196255	5627.672277267043	5618.680868836907	553.8468170558788
scaled_total	101	population_load	0.8486738753388134	2467.842932646298	2179.0602456956767	2478.1039156522147	2172.7839783720924	0.12147595989041604	0.3400933720937187	0.3424869454267134	59.022347841825976	58.745683772668855	15.545086439729102
scaled_total	101	log_tau_intercept	0.0	98.87039931613431	98.87039931613431	100.15702310487681	100.15702310487681	0.016092002696656227	0.016092002696656227	0.016092002696656227	7.829217212205876	7.829217212205876	0.1610463182207523
scaled_total	101	log_tau_load	0.0	319.94715330140946	319.94715330140946	319.64678471294457	319.64678471294457	0.012380298392931836	0.012380298392931836	0.012380298392931836	4.110906031277505	4.110906031277505	0.22134324999120386
scaled_total	101	log_sigma_intercept	0.0	4881.874316919948	4881.874316919948	4884.086732650507	4884.086732650507	0.00021406907292478156	0.00021406907292478156	0.00021406907292478156	6.051301868446332	6.051301868446332	0.014960482900004806
scaled_total	101	log_sigma_subj_slope	0.0	3867.5831562565095	3867.5831562565095	3863.7881965612482	3863.7881965612482	4.496455188786939e-5	4.496455188786939e-5	4.496455188786939e-5	0.0782043668725733	0.0782043668725733	0.0027949685496262778
scaled_total	101	deviation_intercept[701]	0.990959464869329	3459.480483675098	2046.9287261362106	3434.0916280509405	2037.4926232475973	0.900972426522826	12.735913443659685	12.393215756773602	-4865.710774767952	-4857.4094122230545	555.2906620414428
scaled_total	101	deviation_intercept[702]	0.9955984439077074	2446.2542193148615	2028.5089320746308	2443.9603005756285	2021.0773792188404	0.7434679607444481	12.758284623506416	12.38276181185928	-3925.4781485820563	-3917.176786037157	553.9954664445193
scaled_total	101	deviation_intercept[703]	0.9946648835603578	2395.4428009985418	2023.6784598369884	2401.465306307737	2019.797692501871	0.8261211013360139	12.784690075155067	12.387999094069214	-3646.1704830321146	-3637.869120487216	554.2553866002969
scaled_total	101	deviation_intercept[704]	0.9942006316870904	3242.7044016033365	2031.2034365531479	3236.0602081750617	2025.4707662152903	0.7421528285024898	12.782696009522516	12.382682920168847	-664.0738700148617	-655.7725074699625	554.3847790294828
