prior	arm	scope	recovery_seeds	minimum	median	maximum
gaussian	brms_ncp	original_physical46	1	0.47016750460916373	0.47016750460916373	0.47016750460916373
gaussian	brms_ncp	original_physical_plus_raw_intercepts48	1	0.47016750460916373	0.47016750460916373	0.47016750460916373
gaussian	brms_ncp	original_stan_ncp46	1	0.4279315063529273	0.4279315063529273	0.4279315063529273
gaussian	scaled_total	original_physical46	20	1.2097494043184014	1.2097494043184014	1.2097494043184014
gaussian	scaled_total	original_physical_plus_raw_intercepts48	20	1.2097494043184014	1.2097494043184014	1.2097494043184014
gaussian	scaled_total	original_stan_ncp46	20	1.2097494043184014	1.2097494043184014	1.2097494043184014
gaussian	partial	original_physical46	20	49.36080045414912	60.09339899965124	61.649846709104004
gaussian	partial	original_physical_plus_raw_intercepts48	20	49.36080045414912	60.09339899965124	61.649846709104004
gaussian	partial	original_stan_ncp46	20	49.203007657049746	59.43542516661435	63.66589504475299
gaussian	brms_gaussian_refreshed	original_physical46	20	0.9179786898902565	0.9179786898902565	0.9179786898902565
gaussian	brms_gaussian_refreshed	original_physical_plus_raw_intercepts48	20	0.9179786898902565	0.9179786898902565	0.9179786898902565
gaussian	brms_gaussian_refreshed	original_stan_ncp46	20	0.9179786898902565	0.9179786898902565	0.9179786898902565
