arm	recovery_seed	parameter	conditional_noise_variance_fraction	conditional_mean_bulk_ess	recovered_bulk_ess	conditional_mean_mean_ess	recovered_mean_ess	conditional_mean_mcse	recovered_mcse	predicted_recovered_mcse	recovered_mean	conditional_mean	posterior_sd_from_total_variance
partial	101	population_intercept_at_mean_load	0.9996561065418278	2330.4531809124583	2044.0774184833886	2326.098243841333	2041.117381630739	0.2108108891374207	12.584109079924733	12.259412056965571	5629.910682665847	5618.61900507731	548.2707909166072
partial	101	population_load	0.8423755603244228	2149.4549178415546	2027.0235370180942	2149.1114486209353	2014.4685134833785	0.13198045048098866	0.34916178784825447	0.34270812610366735	59.170550433658065	58.79705048583209	15.410874983519243
partial	101	log_tau_intercept	0.0	4724.220659705682	4724.220659705682	4350.242889793495	4350.242889793495	0.002479282824294686	0.002479282824294686	0.002479282824294686	7.817458543777932	7.817458543777932	0.16352449804194713
partial	101	log_tau_load	0.0	2414.8800413028666	2414.8800413028666	2409.551531492735	2409.551531492735	0.004465995343828243	0.004465995343828243	0.004465995343828243	4.099247263939628	4.099247263939628	0.21922313056576181
partial	101	log_sigma_intercept	0.0	5040.6958016091585	5040.6958016091585	5033.473123569617	5033.473123569617	0.00021152992542254566	0.00021152992542254566	0.00021152992542254566	6.051952357857564	6.051952357857564	0.015007408124859454
partial	101	log_sigma_subj_slope	0.0	4817.761298514806	4817.761298514806	4843.094192614628	4843.094192614628	3.958675402265516e-5	3.958675402265516e-5	3.958675402265516e-5	0.07820889054653188	0.07820889054653188	0.0027549349608977187
partial	101	deviation_intercept[701]	0.9906137692335416	1636.8379214580664	2026.8791087511988	1647.016809137818	2022.879115731746	1.3124861114029234	12.685496651564566	12.30607339386974	-4869.255567510246	-4858.895460482778	549.7916231806138
partial	101	deviation_intercept[702]	0.9955914420326082	2164.1769258964396	2053.7908532518186	2155.5112154891153	2048.50446418307	0.784301156807968	12.548415977226417	12.260993062849902	-3928.5408388687038	-3918.1807318412384	548.4155004418022
partial	101	deviation_intercept[703]	0.9948758800206409	2125.887599791603	2055.28632061293	2122.4158206391594	2049.8712060031335	0.8524330029264429	12.567253118721679	12.265539719358513	-3647.356542920463	-3636.9964358929983	548.6126882364825
partial	101	deviation_intercept[704]	0.9940671480047704	1930.6457883985677	2061.362660579298	1934.0307183268158	2055.9071274212783	0.9612636307757347	12.523354155244672	12.273583435595949	-666.3896996355078	-656.0295926080424	548.8358071891622
