model	sampler	parameter	mean	sd	bulk_ess	mcse	split_rhat	tail_ess
brms CP	WHMC	total_load[703]	20.838411155591274	11.957751263717078	2090.769932574927	0.2614604429353279	0.9997308059205307	1520.9007258799015
brms CP	WHMC	total_load[704]	70.08910429050759	13.415640718647813	2528.6157820167527	0.2685846814776694	0.9997030091944863	1552.5305958294061
brms CP	WHMC	total_load[705]	37.76422249929172	15.186430848208722	2933.8078118892076	0.28272813610338116	1.0024870293282229	1276.5720333136646
brms CP	WHMC	total_load[706]	52.811964707311716	14.754818810921707	2897.0841900502755	0.27546917950865174	1.000234516799667	1563.7302244477253
brms CP	WHMC	total_load[707]	57.398230371259984	16.123340893260355	2505.6720893614915	0.321694216735155	1.0000005796357372	1485.8935963387391
brms CP	WHMC	total_load[708]	34.112956706200976	18.01190502321311	2589.9361502425886	0.3571038240282767	1.0010669393541687	1261.825551811504
brms CP	WHMC	total_load[709]	15.33431954888715	19.121786345096712	2559.924889176415	0.37800551948902644	1.000560130127928	1334.5216070078573
brms CP	WHMC	total_load[710]	-15.734978090898633	20.935485137125376	2772.65507576491	0.39878434009033864	0.9995484457787116	1453.9047833324635
brms CP	WHMC	total_load[711]	72.3630683818236	21.83143287019607	2989.1823157443296	0.3983800686600609	0.9999345744366192	1420.6340814309822
brms CP	WHMC	total_load[712]	174.58062934265868	24.869094526258525	1928.715369277849	0.5657722746515719	1.0005903986270204	1291.211265057482
brms CP	WHMC	total_load[713]	44.7575115824638	24.604871138984045	2862.9044824112366	0.46050461954472055	1.0023364179644365	1349.7547641206063
brms CP	WHMC	total_load[714]	56.17220444019775	26.28058005125273	2094.1554279546713	0.5797640092217758	0.9995776651531316	1277.8999901102454
brms CP	WHMC	total_load[715]	17.562031361032183	27.88473916521742	2275.5305903352246	0.5856163296375423	1.0025558401904286	1435.3767393195233
brms CP	WHMC	total_load[716]	23.111806745318354	36.501427084951324	1722.8674157236778	0.8829639219262259	1.001764931068151	1188.5675382350935
brms CP	WHMC	total_load[717]	152.25098324844166	32.84503412869427	1661.6132766441883	0.8137565759524868	1.0006755245229257	1307.1337660091797
brms CP	WHMC	total_load[718]	170.8061095553108	37.845322464762404	2276.493718226026	0.7958878866728847	1.0009857050173687	1252.7328563652668
brms CP	WHMC	total_load[719]	27.750909023796854	34.88589396991453	2378.810444990139	0.7154074184717394	1.00074629210716	1713.5522918119334
brms CP	WHMC	total_load[720]	103.42235758105011	39.82321761484958	3085.858771506671	0.71686114930544	0.9997735365886846	1363.2603401160288
brms S2Z CP	Native Stan	log_tau_intercept	7.811825483002728	0.15502130225909705	3111.1679440725634	0.0028532933539618427	1.0000497943474929	1282.0470500452448
brms S2Z CP	Native Stan	log_tau_load	4.101379188464531	0.22820526392184573	2053.5232422106214	0.005124306657651246	0.9999919722690263	1565.9378492747899
brms S2Z CP	Native Stan	log_sigma_intercept	6.0513386976810235	0.014333940928185544	2647.115074614622	0.0002779998379235393	1.0002604096677792	1545.6197974895701
brms S2Z CP	Native Stan	log_sigma_subj_slope	0.07819758851249048	0.0028982600012702983	2388.757101863516	5.938013553397836e-5	0.9996288608597625	1294.8976524520745
brms S2Z CP	Native Stan	total_intercept[701]	614.7072058231457	55.481152167660845	3041.2844801495817	1.007699475313013	1.001625733470967	1383.2704160559422
brms S2Z CP	Native Stan	total_intercept[702]	1554.011628467849	35.11459354115941	2757.7590507988857	0.6672665322078672	1.000190768177295	1650.5816096058263
brms S2Z CP	Native Stan	total_intercept[703]	1833.649879818486	36.6935397074656	3106.6606361549298	0.6609800184919727	0.9995047436340145	1441.3507970149772
brms S2Z CP	Native Stan	total_intercept[704]	4816.269306932075	42.17569369257041	2875.8762324051377	0.7857270595087503	1.0018764981539328	1202.305820888276
brms S2Z CP	Native Stan	total_intercept[705]	4119.360535197908	48.353604321280606	2989.8195309316916	0.8810457333593678	0.9995152783543538	1141.126147137015
brms S2Z CP	Native Stan	total_intercept[706]	5511.580640598437	45.7499037303926	2630.6841291186674	0.8942202721940019	1.000283911529993	1429.0468094391936
brms S2Z CP	Native Stan	total_intercept[707]	5382.863459753223	49.10908470464986	3870.015747114801	0.7952087452440681	1.0013476286984455	1333.6131120427074
brms S2Z CP	Native Stan	total_intercept[708]	5019.9149667697	52.622945939769224	2802.813402076513	0.9948349508458688	0.999862632899764	1426.1699518816986
brms S2Z CP	Native Stan	total_intercept[709]	4325.815220459064	58.703231225838095	3095.5332874062838	1.052635773258439	1.0022399705142553	1721.8919570876594
brms S2Z CP	Native Stan	total_intercept[710]	5654.710277734893	63.31084605916048	3135.396387386314	1.1222943524278868	1.0001562609643044	1568.4167954698487
brms S2Z CP	Native Stan	total_intercept[711]	3736.2479860190842	64.98742252612719	3123.9291690325563	1.1655936989240392	1.0030361901180018	1612.2606180820596
brms S2Z CP	Native Stan	total_intercept[712]	6561.560380205303	74.16297332462302	2999.428874212123	1.3604360534586704	0.999919375519358	1425.3044795769208
