model	sampler	parameter	difference	combined_mcse	difference_in_combined_mcse
brms NCP	Native Stan	log_tau_intercept	-0.008867244926551443	0.00905404959064857	-0.9793678328987653
brms NCP	Native Stan	log_tau_load	-0.00022966480883290785	0.011028865309782383	-0.020823974396459423
brms NCP	Native Stan	log_sigma_intercept	0.0002949125454057011	0.00037963054213357945	0.7768409352636625
brms NCP	Native Stan	log_sigma_subj_slope	5.041597066283987e-5	6.019071711855715e-5	0.8376037548038505
brms NCP	Native Stan	total_intercept[701]	-0.281989904925922	1.5621880671063166	-0.1805095755521034
brms NCP	Native Stan	total_intercept[702]	0.1377977001573072	1.0222188662883356	0.13480254053385748
brms NCP	Native Stan	total_intercept[703]	0.5663124160514599	0.97221965035293	0.5824943116978557
brms NCP	Native Stan	total_intercept[704]	0.5650909283422152	1.2114498833479366	0.46645836209133323
brms NCP	Native Stan	total_intercept[705]	0.5859395046682039	1.2422741429190907	0.4716668281377616
brms NCP	Native Stan	total_intercept[706]	-0.04050448681391572	1.2941755606996448	-0.031297521019496434
brms NCP	Native Stan	total_intercept[707]	2.0424599775578827	1.4682046106557305	1.391127614458095
brms NCP	Native Stan	total_intercept[708]	0.6420026249343209	1.5034633105272766	0.4270158243563426
brms NCP	Native Stan	total_intercept[709]	-2.5638984516845085	1.6420269202725224	-1.561422909716356
brms NCP	Native Stan	total_intercept[710]	1.3748512727715934	1.8186402178750387	0.7559776030786433
brms NCP	Native Stan	total_intercept[711]	-1.7262424375712726	1.869322556739222	-0.9234588387904904
brms NCP	Native Stan	total_intercept[712]	-1.124481066606677	2.08540800820986	-0.539213939037256
brms NCP	Native Stan	total_intercept[713]	-2.430044740145604	2.471480450555059	-0.9832344575494621
brms NCP	Native Stan	total_intercept[714]	0.8622136458343448	2.3300621825827315	0.3700388995106704
brms NCP	Native Stan	total_intercept[715]	0.4138096884580591	2.6626193740228823	0.15541451117470267
brms NCP	Native Stan	total_intercept[716]	-4.689204879349745	3.7273408790107267	-1.2580563548012025
brms NCP	Native Stan	total_intercept[717]	-2.9636610044653935	3.1243925212772816	-0.948555914240193
brms NCP	Native Stan	total_intercept[718]	-5.935852290815092	3.7695258574412684	-1.5746946738931014
brms NCP	Native Stan	total_intercept[719]	1.1809591292712867	3.192790973129074	0.36988300806735724
brms NCP	Native Stan	total_intercept[720]	-1.5079325585229526	3.849897463412945	-0.3916812260205409
brms NCP	Native Stan	total_load[701]	0.8770488123322906	0.49630239122357966	1.7671662031891928
brms NCP	Native Stan	total_load[702]	0.27418988760433294	0.32733765359381295	0.8376362590555193
brms NCP	Native Stan	total_load[703]	-0.06004631382388581	0.3253935575779758	-0.18453442738950537
brms NCP	Native Stan	total_load[704]	-0.009530468974432438	0.37881886593926384	-0.02515837998406463
brms NCP	Native Stan	total_load[705]	-0.12810943820512222	0.3953050370250325	-0.32407742428288294
brms NCP	Native Stan	total_load[706]	0.340131808922834	0.4017067411590054	0.8467167066738407
brms NCP	Native Stan	total_load[707]	-0.5262792843751072	0.47388775428443486	-1.1105568346449106
brms NCP	Native Stan	total_load[708]	-0.8746125600526682	0.45841933321145684	-1.9078875969858633
brms NCP	Native Stan	total_load[709]	-0.12916316459073407	0.5170016024211194	-0.24983126548517984
brms NCP	Native Stan	total_load[710]	-0.08978426729342814	0.5902151335779683	-0.15212125576845703
brms NCP	Native Stan	total_load[711]	0.4912572538281381	0.5787275647575602	0.8488575346051385
brms NCP	Native Stan	total_load[712]	0.41872890178692046	0.6658955311557228	0.628820711651538
brms NCP	Native Stan	total_load[713]	1.5837726824762797	0.7401779210568654	2.1397188938233724
brms NCP	Native Stan	total_load[714]	-0.31253815101477045	0.7288598040985387	-0.4288042079660585
brms NCP	Native Stan	total_load[715]	0.6267700422604179	0.8260598878200448	0.7587464922361152
brms NCP	Native Stan	total_load[716]	1.665697644903748	1.1247180443280715	1.4809913056021682
brms NCP	Native Stan	total_load[717]	0.4553957032356948	0.9840435080432361	0.46278004937123773
brms NCP	Native Stan	total_load[718]	1.268960144567103	1.2091825393042577	1.0494363781478686
brms NCP	Native Stan	total_load[719]	0.5286389204773556	0.9947514338670741	0.5314281563005981
brms NCP	Native Stan	total_load[720]	0.9583950934757581	1.1194870211549603	0.8561020140162002
brms NCP	WHMC	log_tau_intercept	0.013315998242721783	0.016932779156785652	0.7864035855794836
brms NCP	WHMC	log_tau_load	-0.020024791737558445	0.011520090773467976	-1.7382494748806774
brms NCP	WHMC	log_sigma_intercept	-0.000430581536492447	0.00035025988530697623	-1.2293201549902724
brms NCP	WHMC	log_sigma_subj_slope	8.72012117310722e-5	5.630947980384744e-5	1.5486062388577426
brms NCP	WHMC	total_intercept[701]	0.007888238713235296	1.6014469752005487	0.004925694597067414
brms NCP	WHMC	total_intercept[702]	0.9798982083714236	1.0253017932511805	0.9557168580230564
brms NCP	WHMC	total_intercept[703]	1.1295013842145636	1.0297993602330833	1.0968169410776425
brms NCP	WHMC	total_intercept[704]	-0.18932595791466156	1.2054330817636518	-0.1570605293473956
brms NCP	WHMC	total_intercept[705]	0.3537296753574992	1.3380830740240683	0.26435554131457206
brms NCP	WHMC	total_intercept[706]	0.4579725123521712	1.286803821539841	0.35589924795540545
brms NCP	WHMC	total_intercept[707]	0.7414303255527557	1.529034605106849	0.4849009453915822
brms NCP	WHMC	total_intercept[708]	-0.7740800909195968	1.474240851940014	-0.5250703030654408
brms NCP	WHMC	total_intercept[709]	0.26629516087086813	1.6814217826971214	0.15837499169524946
brms NCP	WHMC	total_intercept[710]	-0.21593930720609933	1.8651414220130063	-0.11577637205281772
brms NCP	WHMC	total_intercept[711]	1.4174468475339381	1.9866061168317517	0.7135017029920802
brms NCP	WHMC	total_intercept[712]	-0.13684923535583948	2.152900733577267	-0.06356504655393486
brms NCP	WHMC	total_intercept[713]	-3.9348678120350087	2.4422808541377194	-1.6111446827945868
brms NCP	WHMC	total_intercept[714]	2.0672263800388464	2.4036478413970923	0.8600371254207085
brms NCP	WHMC	total_intercept[715]	-3.0944641426440285	2.595792770272577	-1.1921075434381023
brms NCP	WHMC	total_intercept[716]	-3.049328039768625	3.5657152104768106	-0.8551799175685896
brms NCP	WHMC	total_intercept[717]	-1.2370350552519085	3.083563529955162	-0.40117060771888696
brms NCP	WHMC	total_intercept[718]	-0.10378056297577132	3.661937632463783	-0.02834034147816626
brms NCP	WHMC	total_intercept[719]	-0.832662082504612	3.357857079572244	-0.24797424749557373
brms NCP	WHMC	total_intercept[720]	5.416210356275769	3.4684842398586073	1.5615496515839902
brms NCP	WHMC	total_load[701]	-0.13035955931317034	0.5044629497478985	-0.25841255413963804
brms NCP	WHMC	total_load[702]	-0.09881430309312123	0.3322582867694325	-0.2974020725078032
brms NCP	WHMC	total_load[703]	-0.04583468275551539	0.3455257848499769	-0.13265198941785558
brms NCP	WHMC	total_load[704]	0.10445073645520608	0.38429351344195006	0.2717993741806522
brms NCP	WHMC	total_load[705]	-0.19100480799453834	0.43577159049343395	-0.43831404378210914
brms NCP	WHMC	total_load[706]	0.14557146042226066	0.4157212805810474	0.3501660059807321
brms NCP	WHMC	total_load[707]	0.12027814814132398	0.4873227534391046	0.2468141437938293
brms NCP	WHMC	total_load[708]	0.0691779365357661	0.4773104872824055	0.1449327814472182
brms NCP	WHMC	total_load[709]	-0.6725475208604106	0.5408828103012017	-1.2434255776882404
brms NCP	WHMC	total_load[710]	0.31962128831170666	0.597256191349435	0.5351493930762901
brms NCP	WHMC	total_load[711]	-0.3942945492893699	0.6308187660768338	-0.6250520284004119
brms NCP	WHMC	total_load[712]	-0.6117307256076003	0.6786126382899487	-0.9014431666777006
brms NCP	WHMC	total_load[713]	2.0517765666403065	0.7704512005566576	2.6630843915330136
brms NCP	WHMC	total_load[714]	-0.34788705908939477	0.7306938881620048	-0.47610506222307897
