qoi	mean	sd	bulk_ess	tail_ess	split_rhat
hsgp_x_rho_iso	-1.8010482841773112	0.17391845618255533	3487.583628463723	4395.7122869446775	1.0001122137903198
hsgp_x_sigma	-0.11886556585254557	0.2525530696933103	5549.346207608117	5398.964256425804	0.9999859402171725
hsgp_log_sigma_x_rho_iso	-1.3387237051218817	0.21260386529135725	5317.086948636377	5764.315295173285	1.0001373531739792
hsgp_log_sigma_x_sigma	0.6260228747666114	0.32545629990072517	8697.090315234314	5981.589308807022	0.9999268455048266
mu(time=2.4)	-0.013000856954404224	0.029591493402012916	9518.22254314422	7823.218521428289	1.0002345106238095
mu(time=2.6)	-0.018859555838686672	0.024457791904922643	9805.61638639458	8021.122868665613	1.0001227506700208
mu(time=3.2)	-0.03218359912029078	0.01661687333996775	10533.334602028008	8328.042794072506	0.9999844333452654
mu(time=3.6)	-0.03779105870211228	0.016215675621283246	9757.660598591621	8339.42600951813	0.9999467304120345
mu(time=4.0)	-0.041215302963279306	0.016924524851974303	9429.366581160968	8541.172517947938	0.9999193584364541
mu(time=6.2)	-0.04450345845647497	0.011988425028545177	9931.016431505566	8169.552761175151	0.9999634330431157
mu(time=6.6)	-0.04581731192775728	0.010949436139084846	9789.34651742748	7462.070514207729	0.9999853578081952
mu(time=6.8)	-0.046722013050686725	0.010635528667403752	9612.359507472147	7546.304772792816	1.0000675940243176
mu(time=7.8)	-0.052751763113287255	0.010659207203501199	10059.70748764302	7688.055252922378	1.0001193126167474
mu(time=8.2)	-0.05506175258361275	0.011058364460743262	10395.826897407349	7995.362840357377	1.0002187681117147
mu(time=8.8)	-0.05714822198279528	0.01200335588281993	10500.700797671265	7992.993404925328	1.0002143369320915
mu(time=9.6)	-0.05586571642642648	0.014519899264637542	9823.866798300776	7777.672649607071	1.0000569342878167
mu(time=10.0)	-0.053464115482461466	0.016542236053366795	9578.731571579969	8125.481868587358	1.0001762006372077
mu(time=10.2)	-0.05197775099907997	0.017766744236570903	9563.331393958033	8353.802648072748	1.0003065806368836
mu(time=10.6)	-0.04890440951286858	0.020659623777922048	9625.484249666933	8309.209410126614	1.000484964922615
mu(time=11.0)	-0.04660531073162705	0.024158944619736607	9742.5242996936	9088.009563070087	1.0001408588567038
mu(time=11.4)	-0.0465041755362173	0.028255781306286955	9835.596782465927	9323.869633552174	1.0000762285822118
mu(time=13.2)	-0.1263152139519407	0.05032362707853036	8992.637095022508	9284.836013102233	1.0000677435265397
mu(time=13.6)	-0.17513383987830625	0.05446373633686765	8797.09574188278	8764.626056282725	1.0000144972025542
