index	centeredness	loss	admissible
3	0.0	-0.049111120463929125	true
3	0.01	-0.04959002229620234	true
3	0.02	-0.05007278543972232	true
3	0.03	-0.05055943396022686	true
3	0.04	-0.05104999099342777	true
3	0.05	-0.05154447865769573	true
3	0.06	-0.05204291796179482	true
3	0.07	-0.05254532870744397	true
3	0.08	-0.05305172938647639	true
3	0.09	-0.05356213707235958	true
3	0.1	-0.0540765673058381	true
3	0.11	-0.054595033974450584	true
3	0.12	-0.05511754918567185	true
3	0.13	-0.05564412313342505	true
3	0.14	-0.05617476395770637	true
3	0.15	-0.056709477597062546	true
3	0.16	-0.05724826763365867	true
3	0.17	-0.05779113513067581	true
3	0.18	-0.05833807846177724	true
3	0.19	-0.05888909313238434	true
3	0.2	-0.059444171592509705	true
3	0.21	-0.06000330304089775	true
3	0.22	-0.06056647322023413	true
3	0.23	-0.061133664203193376	true
3	0.24	-0.06170485416910904	true
3	0.25	-0.06228001717106486	true
3	0.26	-0.06285912289322536	true
3	0.27	-0.0634421363982472	true
3	0.28	-0.06402901786463612	true
3	0.29	-0.06461972231395051	true
3	0.3	-0.06521419932777804	true
3	0.31	-0.06581239275446348	true
3	0.32	-0.06641424040559937	true
3	0.33	-0.06701967374235071	true
3	0.34	-0.06762861755173578	true
3	0.35	-0.06824098961305261	true
3	0.36	-0.06885670035470867	true
3	0.37	-0.06947565250179003	true
3	0.38	-0.07009774071479144	true
3	0.39	-0.07072285122002316	true
3	0.4	-0.07135086143231228	true
3	0.41	-0.0719816395707284	true
3	0.42	-0.07261504426818252	true
3	0.43	-0.07325092417588036	true
3	0.44	-0.07388911756375009	true
3	0.45	-0.07452945191811304	true
3	0.46	-0.07517174353802775	true
3	0.47	-0.07581579713190446	true
3	0.48	-0.07646140541616764	true
3	0.49	-0.07710834871793014	true
3	0.5	-0.07775639458384007	true
3	0.51	-0.07840529739746328	true
3	0.52	-0.07905479800777758	true
3	0.53	-0.07970462337156592	true
3	0.54	-0.08035448621272182	true
3	0.55	-0.081004084701696	true
3	0.56	-0.08165310215853776	true
3	0.57	-0.08230120678320435	true
3	0.58	-0.08294805141702434	true
3	0.59	-0.0835932733394047	true
3	0.6	-0.08423649410407001	true
3	0.61	-0.08487731941929237	true
3	0.62	-0.08551533907673459	true
3	0.63	-0.08615012693365721	true
3	0.64	-0.08678124095334364	true
3	0.65	-0.0874082233086665	true
3	0.66	-0.08803060055374566	true
3	0.67	-0.08864788386862577	true
3	0.68	-0.08925956938183698	true
3	0.69	-0.08986513857556752	true
3	0.7	-0.09046405877799275	true
3	0.71	-0.09105578374703875	true
3	0.72	-0.09163975434953175	true
3	0.73	-0.09221539933927009	true
3	0.74	-0.09278213623706665	true
3	0.75	-0.09333937231523025	true
3	0.76	-0.09388650568829812	true
3	0.77	-0.09442292651107619	true
3	0.78	-0.09494801828422061	true
3	0.79	-0.09546115926666926	true
3	0.8	-0.09596172399324682	true
3	0.81	-0.09644908489469803	true
3	0.82	-0.09692261401627929	true
3	0.83	-0.09738168482985897	true
3	0.84	-0.09782567413325845	true
3	0.85	-0.09825396402932209	true
3	0.86	-0.09866594397595574	true
3	0.87	-0.09906101289713028	true
3	0.88	-0.09943858134363837	true
3	0.89	-0.0997980736912378	true
3	0.9	-0.10013893036272761	true
3	0.91	-0.1004606100595228	true
3	0.92	-0.10076259198742382	true
3	0.93	-0.10104437806055691	true
3	0.94	-0.10130549506689614	true
3	0.95	-0.10154549677840465	true
3	0.96	-0.10176396598864454	true
3	0.97	-0.10196051646074385	true
3	0.98	-0.10213479476885448	true
3	0.99	-0.10228648201672436	true
3	1.0	-0.10241529541771345	true
4	0.0	-0.03935505696339036	true
4	0.01	-0.03962954021062721	true
4	0.02	-0.03990467260957851	true
4	0.03	-0.040180426671891145	true
4	0.04	-0.04045677368826022	true
4	0.05	-0.040733683694299576	true
4	0.06	-0.04101112543616703	true
4	0.07	-0.041289066335993094	true
4	0.08	-0.04156747245716579	true
4	0.09	-0.04184630846952924	true
4	0.1	-0.04212553761455731	true
4	0.11	-0.042405121670568494	true
4	0.12	-0.04268502091805411	true
4	0.13	-0.042965194105195545	true
4	0.14	-0.043245598413652345	true
4	0.15	-0.04352618942470851	true
4	0.16	-0.043806921085868686	true
4	0.17	-0.04408774567800332	true
4	0.18	-0.044368613783146146	true
4	0.19	-0.04464947425305412	true
4	0.2	-0.0449302741786454	true
4	0.21	-0.04521095886043707	true
4	0.22	-0.04549147178011129	true
4	0.23	-0.04577175457334203	true
4	0.24	-0.04605174700402478	true
4	0.25	-0.04633138694005265	true
4	0.26	-0.046610610330793285	true
4	0.27	-0.04688935118642215	true
4	0.28	-0.047167541559276834	true
4	0.29	-0.047445111527401	true
4	0.3	-0.04772198918045123	true
4	0.31	-0.047998100608146514	true
4	0.32	-0.048273369891443076	true
4	0.33	-0.048547719096622505	true
4	0.34	-0.048821068272483475	true
4	0.35	-0.04909333545083224	true
4	0.36	-0.049364436650467365	true
4	0.37	-0.04963428588485801	true
4	0.38	-0.04990279517371489	true
4	0.39	-0.050169874558653745	true
4	0.4	-0.05043543212314965	true
4	0.41	-0.05069937401698116	true
4	0.42	-0.050961604485357984	true
4	0.43	-0.051222025902923185	true
4	0.44	-0.05148053881281721	true
4	0.45	-0.0517370419709828	true
4	0.46	-0.05199143239588395	true
4	0.47	-0.05224360542380221	true
4	0.48	-0.0524934547698651	true
4	0.49	-0.0527408725949463	true
4	0.5	-0.052985749578568275	true
4	0.51	-0.05322797499791993	true
4	0.52	-0.05346743681308654	true
4	0.53	-0.05370402175857154	true
4	0.54	-0.05393761544116977	true
4	0.55	-0.05416810244423008	true
4	0.56	-0.05439536643832299	true
4	0.57	-0.05461929029830435	true
4	0.58	-0.05483975622674035	true
4	0.59	-0.0550566458836306	true
4	0.6	-0.05526984052233987	true
4	0.61	-0.05547922113161484	true
4	0.62	-0.0556846685835363	true
4	0.63	-0.055886063787219914	true
4	0.64	-0.05608328784804955	true
4	0.65	-0.05627622223219051	true
4	0.66	-0.05646474893609791	true
4	0.67	-0.05664875066069947	true
4	0.68	-0.05682811098989817	true
4	0.69	-0.057002714573004744	true
4	0.7	-0.057172447310677575	true
4	0.71	-0.05733719654391255	true
4	0.72	-0.05749685124559381	true
4	0.73	-0.05765130221408574	true
4	0.74	-0.0578004422683153	true
4	0.75	-0.057944166443767896	true
4	0.76	-0.05808237218879343	true
4	0.77	-0.058214959560595345	true
4	0.78	-0.05834183142025685	true
4	0.79	-0.05846289362613874	true
4	0.8	-0.05857805522497004	true
4	0.81	-0.058687228639941844	true
4	0.82	-0.058790329855108285	true
4	0.83	-0.058887278595391515	true
4	0.84	-0.0589779985014951	true
4	0.85	-0.059062417299027434	true
4	0.86	-0.05914046696115166	true
4	0.87	-0.05921208386408991	true
4	0.88	-0.05927720893482662	true
4	0.89	-0.05933578779038062	true
4	0.9	-0.059387770868038516	true
4	0.91	-0.059433113545977405	true
4	0.92	-0.05947177625373354	true
4	0.93	-0.059503724572019454	true
4	0.94	-0.059528929321427226	true
4	0.95	-0.05954736663960697	true
4	0.96	-0.05955901804655505	true
4	0.97	-0.05956387049769982	true
4	0.98	-0.059561916424525095	true
4	0.99	-0.05955315376252943	true
4	1.0	-0.05953758596637539	true
5	0.0	-0.05507538451759617	true
5	0.01	-0.05523304232446038	true
5	0.02	-0.055388890345872716	true
5	0.03	-0.05554290288340525	true
5	0.04	-0.055695054391588804	true
5	0.05	-0.05584531948494862	true
5	0.06	-0.05599367294505716	true
5	0.07	-0.05614008972760328	true
5	0.08	-0.05628454496947369	true
5	0.09	-0.05642701399584458	true
5	0.1	-0.05656747232728005	true
5	0.11	-0.05670589568683381	true
5	0.12	-0.05684226000715285	true
5	0.13	-0.05697654143757688	true
5	0.14	-0.057108716351233955	true
5	0.15	-0.05723876135212562	true
5	0.16	-0.05736665328220129	true
5	0.17	-0.057492369228415934	true
5	0.18	-0.05761588652976919	true
5	0.19	-0.057737182784322605	true
5	0.2	-0.05785623585618979	true
5	0.21	-0.05797302388249869	true
5	0.22	-0.058087525280319345	true
5	0.23	-0.05819971875355611	true
5	0.24	-0.058309583299799406	true
5	0.25	-0.05841709821713356	true
5	0.26	-0.058522243110896655	true
5	0.27	-0.05862499790039016	true
5	0.28	-0.05872534282553246	true
5	0.29	-0.058823258453454534	true
5	0.3	-0.05891872568503228	true
5	0.31	-0.05901172576135363	true
5	0.32	-0.059102240270114514	true
5	0.33	-0.05919025115194181	true
5	0.34	-0.05927574070663867	true
5	0.35	-0.05935869159934764	true
5	0.36	-0.05943908686662948	true
5	0.37	-0.05951690992245308	true
5	0.38	-0.0595921445640918	true
5	0.39	-0.0596647749779247	true
5	0.4	-0.059734785745136736	true
5	0.41	-0.05980216184731533	true
5	0.42	-0.059866888671939844	true
5	0.43	-0.05992895201775973	true
5	0.44	-0.059988338100058096	true
5	0.45	-0.06004503355579683	true
5	0.46	-0.06009902544864107	true
5	0.47	-0.06015030127385692	true
5	0.48	-0.06019884896308169	true
5	0.49	-0.06024465688896261	true
5	0.5	-0.06028771386965913	true
5	0.51	-0.06032800917320774	true
5	0.52	-0.06036553252174553	true
5	0.53	-0.06040027409558797	true
5	0.54	-0.06043222453716028	true
5	0.55	-0.060461374954777596	true
5	0.56	-0.060487716926272014	true
5	0.57	-0.06051124250246315	true
5	0.58	-0.06053194421047061	true
5	0.59	-0.06054981505686373	true
5	0.6	-0.060564848530649466	true
5	0.61	-0.060577038606091774	true
5	0.62	-0.060586379745364176	true
5	0.63	-0.0605928669010306	true
5	0.64	-0.060596495518353846	true
5	0.65	-0.06059726153742959	true
5	0.66	-0.06059516139514284	true
5	0.67	-0.06059019202694703	true
5	0.68	-0.06058235086846272	true
5	0.69	-0.060571635856894734	true
5	0.7	-0.06055804543226722	true
5	0.71	-0.06054157853847354	true
5	0.72	-0.060522234624141996	true
5	0.73	-0.06050001364331469	true
5	0.74	-0.06047491605594001	true
5	0.75	-0.06044694282817677	true
5	0.76	-0.06041609543251031	true
5	0.77	-0.060382375847679616	true
5	0.78	-0.06034578655841574	true
5	0.79	-0.060306330554990184	true
5	0.8	-0.060264011332574405	true
5	0.81	-0.06021883289040971	true
5	0.82	-0.060170799730788316	true
5	0.83	-0.06011991685784537	true
5	0.84	-0.06006618977616282	true
5	0.85	-0.06000962448918574	true
5	0.86	-0.0599502274974512	true
5	0.87	-0.059888005796632206	true
5	0.88	-0.05982296687539528	true
5	0.89	-0.05975511871307548	true
5	0.9	-0.059684469777168	true
5	0.91	-0.059611029020639084	true
5	0.92	-0.05953480587905734	true
5	0.93	-0.05945581026754697	true
5	0.94	-0.0593740525775651	true
5	0.95	-0.05928954367350505	true
5	0.96	-0.059202294889127094	true
5	0.97	-0.059112318023819936	true
5	0.98	-0.059019625338693905	true
5	0.99	-0.05892422955250955	true
5	1.0	-0.05882614383744264	true
6	0.0	-0.05998201376095959	true
6	0.01	-0.06031036814881295	true
6	0.02	-0.060638300195329675	true
6	0.03	-0.06096574545395991	true
6	0.04	-0.06129263796394137	true
6	0.05	-0.0616189102407676	true
