index	centeredness
3	1.0
4	0.97
5	0.65
6	0.82
7	0.71
8	0.78
9	0.66
10	0.74
11	0.84
12	0.6
13	0.7
14	0.68
15	0.64
16	0.65
17	0.62
18	0.66
19	0.6
20	0.57
21	0.57
22	0.51
25	0.95
26	1.0
27	0.83
28	0.82
29	0.73
30	0.53
31	0.69
32	0.67
33	0.49
34	0.37
35	0.27
36	0.22
37	0.17
38	0.08
39	0.07
40	0.03
41	0.02
42	0.01
43	0.01
44	0.0
