parameter	bulk_ess	mean_ess	mcse
population_intercept_at_mean_load	230.3945156484024	231.28119962831764	34.06604624118334
population_load	364.615176788096	364.93022577254516	0.7559760423484536
log_tau_intercept	397.003017647673	394.67476287050744	0.007825837455485457
log_tau_load	458.410834910328	461.2238688797186	0.009946799750375854
log_sigma_intercept	1886.8221012717418	1887.8437608079557	0.0003355935773764194
log_sigma_subj_slope	3029.888950877561	3049.168659160872	5.197575311817452e-5
deviation_intercept[701]	229.75056047546295	230.85188223515985	34.18146422057039
deviation_intercept[702]	233.161779958963	233.09672351459432	33.858443907940845
deviation_intercept[703]	230.33138348515826	231.2301830254534	34.00981220438424
deviation_intercept[704]	229.1914128593584	230.05587095495216	34.040671749081476
deviation_intercept[705]	230.66784843048896	231.4104383488638	34.00697580675687
deviation_intercept[706]	232.25742888858474	233.27080251820067	33.89395955185478
deviation_intercept[707]	233.8798538851862	234.4512479362084	33.839343151835585
deviation_intercept[708]	231.7329352267262	232.5018330422999	33.94301641005807
deviation_intercept[709]	233.0443601841922	234.27649944868978	33.95224259615707
deviation_intercept[710]	232.550746375876	233.5132673164441	33.977734569659596
deviation_intercept[711]	233.72587391430406	234.17473761204846	33.97537466847086
deviation_intercept[712]	233.5165636563511	234.89196959366328	33.98616057509919
deviation_intercept[713]	233.17944473550085	234.46837767546225	34.06487794922022
deviation_intercept[714]	233.66469775722783	234.96284261024329	34.1531380796785
deviation_intercept[715]	235.12085304802778	236.1448542525551	34.07744335093702
deviation_intercept[716]	231.45788455177518	232.507283149956	34.56859460157828
deviation_intercept[717]	239.81801130494065	241.15539015025172	33.96370179675491
deviation_intercept[718]	243.78678979095127	244.2304068733107	33.64173358999919
deviation_intercept[719]	238.99967659323812	239.18294101288663	34.09471082344479
deviation_intercept[720]	243.33102929921102	243.72209899747412	33.99586855652825
deviation_load[701]	722.4720042686072	717.6773185099469	0.8118429495102925
deviation_load[702]	561.661477373186	563.9055759744614	0.7739643177695777
deviation_load[703]	582.8052723929632	580.9321945388314	0.763974560776515
deviation_load[704]	596.6365173829192	595.7099338730845	0.8066752310368654
deviation_load[705]	716.6244361380105	718.5223594043802	0.7799408468476797
deviation_load[706]	627.554513546054	627.4635139982387	0.8376551314624939
deviation_load[707]	715.4025283542194	720.3327298986454	0.7952564323665082
deviation_load[708]	718.9809415996689	719.7290290031399	0.8136891462425572
deviation_load[709]	866.9635964407692	869.5810424330941	0.7816594146249278
deviation_load[710]	894.7185671337068	891.47339561727	0.8211918385949089
deviation_load[711]	890.5625336627696	888.6308526774111	0.8503275839090432
deviation_load[712]	984.7296378569077	989.8265296024741	0.8359681821158638
deviation_load[713]	1401.937775299929	1416.1827651393394	0.7065150178737151
deviation_load[714]	1049.5178147592646	1049.6917186136827	0.8774055362128919
deviation_load[715]	1211.7355693603438	1216.733144853368	0.8751525330329086
deviation_load[716]	1584.9185827688652	1583.7095343378617	0.9583647192315015
deviation_load[717]	1208.3372638990024	1200.9655043418945	1.0045797814257582
deviation_load[718]	1257.9177113711366	1249.823343049705	1.0276957736466026
deviation_load[719]	1543.6228172060466	1552.6644001316067	0.9481417610236178
deviation_load[720]	1544.0807218646692	1518.990247896814	0.9790775091577464
population_intercept_at_load0	230.78004071421634	231.40979686063153	33.903358044735
log_sigma_intercept_at_subject0	3051.2923158807016	3057.465663882562	0.03689076883082298
