model	sampler	qoi	bulk_ess	mcse
brms S2Z NCP	WHMC	total_intercept[713]	2784.5469752088693	1.4100581008455975
brms S2Z NCP	WHMC	total_intercept[714]	2095.730730274053	1.7599139145466147
brms S2Z NCP	WHMC	total_intercept[715]	2211.56979794047	1.9811440062298256
brms S2Z NCP	WHMC	total_intercept[716]	1841.4902512547262	2.93634487642034
brms S2Z NCP	WHMC	total_intercept[717]	2204.2497095392473	2.2917477340594083
brms S2Z NCP	WHMC	total_intercept[718]	1784.485799702125	2.7650251998979125
brms S2Z NCP	WHMC	total_intercept[719]	2858.6113972675885	2.166845056236166
brms S2Z NCP	WHMC	total_intercept[720]	2988.8266992925946	2.2061383249390314
brms S2Z NCP	WHMC	total_load[701]	1566.6801724408401	0.44264766276346484
brms S2Z NCP	WHMC	total_load[702]	2640.9309855894257	0.22335243093444904
brms S2Z NCP	WHMC	total_load[703]	2185.9479584181886	0.2663609030935183
brms S2Z NCP	WHMC	total_load[704]	2482.125805059773	0.26535895430523937
brms S2Z NCP	WHMC	total_load[705]	2383.2929571165782	0.31003085773088196
brms S2Z NCP	WHMC	total_load[706]	2858.883262562842	0.28980937653955835
brms S2Z NCP	WHMC	total_load[707]	2115.07368687845	0.3459814416168647
brms S2Z NCP	WHMC	total_load[708]	2629.3456210464233	0.3505052567389755
brms S2Z NCP	WHMC	total_load[709]	2007.2465147305195	0.42924186236718775
brms S2Z NCP	WHMC	total_load[710]	2429.1926461468684	0.42172557258599624
brms S2Z NCP	WHMC	total_load[711]	1645.5062443329043	0.5298639416922111
brms S2Z NCP	WHMC	total_load[712]	2362.514538112594	0.517256857655686
brms S2Z NCP	WHMC	total_load[713]	3053.320458101232	0.4284642309399641
brms S2Z NCP	WHMC	total_load[714]	1788.9289067032548	0.6084361195551762
brms S2Z NCP	WHMC	total_load[715]	1860.1580062960395	0.6700003983135713
brms S2Z NCP	WHMC	total_load[716]	1656.6690973320708	0.9172849778404811
brms S2Z NCP	WHMC	total_load[717]	2020.1025438243141	0.7826864821458536
brms S2Z NCP	WHMC	total_load[718]	1594.789712448096	0.9319775827608321
brms S2Z NCP	WHMC	total_load[719]	2624.241327308736	0.693136939275761
brms S2Z NCP	WHMC	total_load[720]	2478.1367208670717	0.7531164087081322
brms S2Z auto	Native Stan	population_intercept_at_mean_load	1916.227549791921	12.533699989848804
brms S2Z auto	Native Stan	population_load	1830.4061029002805	0.36148631696708
brms S2Z auto	Native Stan	log_tau_intercept	3989.1219341208052	0.002513916236739012
brms S2Z auto	Native Stan	log_tau_load	1826.753280301886	0.005142004304436758
brms S2Z auto	Native Stan	log_sigma_intercept	3381.6153825690753	0.00026308897133921156
brms S2Z auto	Native Stan	log_sigma_subj_slope	4412.406594071237	4.1745348454712344e-5
brms S2Z auto	Native Stan	total_intercept[701]	2573.950391036586	1.0726132493692904
brms S2Z auto	Native Stan	total_intercept[702]	2698.8585926925257	0.6576498166317314
brms S2Z auto	Native Stan	total_intercept[703]	2554.6974873563213	0.7331035030556163
brms S2Z auto	Native Stan	total_intercept[704]	2524.865911149641	0.8273117794660446
brms S2Z auto	Native Stan	total_intercept[705]	1968.575761566492	1.0710516373179348
brms S2Z auto	Native Stan	total_intercept[706]	2602.3420953216582	0.9295765949303076
brms S2Z auto	Native Stan	total_intercept[707]	1941.4281938317881	1.1210421425054917
brms S2Z auto	Native Stan	total_intercept[708]	2022.9841098005554	1.1910417034668466
brms S2Z auto	Native Stan	total_intercept[709]	2102.593537140982	1.2852416916682874
brms S2Z auto	Native Stan	total_intercept[710]	2285.2061497145755	1.3604843000084221
brms S2Z auto	Native Stan	total_intercept[711]	2031.4448759053603	1.5140115077806158
brms S2Z auto	Native Stan	total_intercept[712]	1793.389513006693	1.7641912138563964
brms S2Z auto	Native Stan	total_intercept[713]	2351.4780288901134	1.641896456642127
brms S2Z auto	Native Stan	total_intercept[714]	2249.2945684066012	1.7744857572544541
brms S2Z auto	Native Stan	total_intercept[715]	2220.0648691976367	1.840012786209529
brms S2Z auto	Native Stan	total_intercept[716]	1972.0404264864342	2.9148474231570116
brms S2Z auto	Native Stan	total_intercept[717]	1502.5446578902295	2.727850558529326
brms S2Z auto	Native Stan	total_intercept[718]	2411.9659527048134	2.31550019139699
brms S2Z auto	Native Stan	total_intercept[719]	2213.1940628741163	2.542969778101087
brms S2Z auto	Native Stan	total_intercept[720]	2009.1533180008732	2.6656204135431736
brms S2Z auto	Native Stan	total_load[701]	2692.135199545949	0.3472688249880622
brms S2Z auto	Native Stan	total_load[702]	2814.15572750203	0.21042777700036816
brms S2Z auto	Native Stan	total_load[703]	2379.329982387672	0.24667680125026617
brms S2Z auto	Native Stan	total_load[704]	2523.2639021566665	0.27536809972019954
brms S2Z auto	Native Stan	total_load[705]	2006.7665906184513	0.34506568402084836
brms S2Z auto	Native Stan	total_load[706]	2508.833475114291	0.3074438586579689
