parameter	bulk_ess	tail_ess	split_rhat
b.1	542.1722360457748	777.040983539486	1.0018361365375557
Intercept	74.49696772494585	157.86534359052948	1.0006772356612477
b_sigma.1	2632.663336007037	1078.1300235092563	1.0010433880638776
Intercept_sigma	1758.9648775588355	1302.270311139075	0.9998455697768069
sd_1.1	142.04985843099809	158.8659730778729	1.010712102859655
sd_1.2	460.87480303894426	970.894435148611	1.0026500381280257
z_1.1.1	86.85669120173947	42.30791798947685	1.0118554393733619
z_1.2.1	720.7849096358609	1140.8862685248992	0.9995300374363368
z_1.1.2	82.6997221014327	41.567577854581174	1.0107660529166578
z_1.2.2	713.9781899905054	1157.044055090507	1.000267859241486
z_1.1.3	81.42108669569693	41.45892403056798	1.0107577901542688
z_1.2.3	655.5757665812718	961.0730236144342	1.000541946648799
z_1.1.4	66.21897715606468	49.02958995814996	1.002972251419202
z_1.2.4	851.4668308800914	1457.2712061741727	1.0005468531264237
z_1.1.5	67.25910808407224	40.58374751782666	1.0059825431812766
z_1.2.5	911.4222050961407	1037.6791469905595	0.9997942426543323
z_1.1.6	72.64891512605212	127.33345875758928	1.0019858131835537
z_1.2.6	950.3747287435069	1268.1504932581672	0.9999527657330612
z_1.1.7	71.28270953475432	124.03367914338392	1.001329232050972
z_1.2.7	888.788679048736	1233.1409602749611	1.0032793806819091
z_1.1.8	66.72063755191527	63.77248187679964	1.0024638973179818
z_1.2.8	1128.8433414647343	1188.7571443704958	1.0002776324256535
z_1.1.9	66.58214898158896	44.752555411961154	1.0056643266770644
z_1.2.9	959.6839254864316	1143.9761414791765	0.9995425344390226
z_1.1.10	74.32755814612439	121.67475787385067	1.0010372691051141
z_1.2.10	1095.6144034560202	1061.8981263369692	1.0003229588415294
z_1.1.11	70.06242547695297	40.713842259271566	1.0063045329158247
z_1.2.11	895.6625173689048	1182.0605516550625	1.0008303504282339
z_1.1.12	87.02538234116189	200.10715113037637	1.0027863611160446
z_1.2.12	533.6328850015377	1194.2504480539337	1.0016205753038
z_1.1.13	165.6111377660169	483.58852494187954	1.0046190395122112
z_1.2.13	1047.7859249606613	1395.899665994538	1.0003317179008462
z_1.1.14	73.2201817161312	134.7080130588231	1.0007407430169115
z_1.2.14	1455.613376583615	1462.624771413004	1.0003509149604597
z_1.1.15	82.87090675277615	256.89973597616967	1.0007021301880388
z_1.2.15	1172.7153526694538	1327.377525388458	0.9999961671094373
z_1.1.16	83.2531983758435	248.44707606898396	0.9999726349031546
z_1.2.16	1285.98138124404	952.8637074236294	1.001291286254623
z_1.1.17	102.63193946899362	287.93019915587604	1.0032162597064962
z_1.2.17	1311.4993273410357	1114.1192816881828	1.0005046055725642
z_1.1.18	97.37703538689554	269.5376659027622	1.0013061163268961
z_1.2.18	1693.657128186134	1565.394240690857	0.9995148222956828
z_1.1.19	174.6834718445995	436.91575105079284	1.005851756071319
z_1.2.19	1472.6353830753333	1342.156783230403	0.9995035190111445
z_1.1.20	153.9243107019748	346.60737266784247	1.0046553240896596
z_1.2.20	1858.5219365568369	1182.3045743653895	1.0023250533230934
