point	density_error	gradient_error
1	7.639755494892597e-11	4.468672516818471e-8
2	7.639755494892597e-11	7.650084784745554e-8
3	7.639755494892597e-11	7.945523000026539e-8
4	7.639755494892597e-11	8.874014352901423e-8
5	6.912159733474255e-11	2.2896158695130323e-8
6	7.275957614183426e-11	8.080418039426453e-8
7	7.275957614183426e-11	4.1646688889984686e-8
8	6.912159733474255e-11	8.52326567733374e-8
