window	changed_controls	dropped_draws	active_equals_last_old_source	physical_error	physical_logdensity_before	physical_logdensity_after
2	28	19	true	2389.78126382941	-16949.661621875002	-47562.99710356098
4	37	1662	true	3.2051983012888845e7	-24480.83602695532	-3.0643118459574884e8
5	22	692	true	8.134608708886564e6	-1.8079796971943158e8	-1.7387713536576325e8
