coordinate	c
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	0.8
11	1.0
12	1.0
13	1.0
14	1.0
15	1.0
16	1.0
17	1.0
18	1.0
19	1.0
20	1.0
21	1.0
22	0.9
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	0.8
30	1.0
31	0.7
32	0.8
33	1.0
34	0.9
35	0.9
36	0.8
37	0.6
38	0.6
39	0.9
40	0.6
