arm	recovery_seed	scope	min_bulk_ess	limiting_parameter	min_bulk_ess_per_1000_sampling_gradients	min_bulk_ess_per_1000_all_gradients
centered_total	101	original_physical46	1870.5037614771825	deviation_load[712]	35.877393000559735	34.26646933293976
centered_total	101	original_physical_plus_raw_intercepts48	1870.5037614771825	deviation_load[712]	35.877393000559735	34.26646933293976
centered_total	101	original_stan_ncp46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	102	original_physical46	1857.697053022173	deviation_load[705]	35.63175258980691	34.03185837327886
centered_total	102	original_physical_plus_raw_intercepts48	1857.697053022173	deviation_load[705]	35.63175258980691	34.03185837327886
centered_total	102	original_stan_ncp46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	103	original_physical46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	103	original_physical_plus_raw_intercepts48	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	103	original_stan_ncp46	1777.2498023933233	z_intercept[711]	34.08872568653758	32.55811461324717
centered_total	104	original_physical46	1669.7233609338562	deviation_load[705]	32.02630353179868	30.588296864342354
centered_total	104	original_physical_plus_raw_intercepts48	1669.7233609338562	deviation_load[705]	32.02630353179868	30.588296864342354
centered_total	104	original_stan_ncp46	1831.2403192536758	z_load[705]	35.12429644110933	33.54718741190532
centered_total	105	original_physical46	1690.526572447181	deviation_load[712]	32.42532170567709	30.96939880277687
centered_total	105	original_physical_plus_raw_intercepts48	1690.526572447181	deviation_load[712]	32.42532170567709	30.96939880277687
centered_total	105	original_stan_ncp46	1870.986792876784	z_load[705]	35.886657834831674	34.27531816873585
centered_total	106	original_physical46	1714.369149848845	deviation_load[712]	32.88263675481136	31.40618004009828
centered_total	106	original_physical_plus_raw_intercepts48	1714.369149848845	deviation_load[712]	32.88263675481136	31.40618004009828
centered_total	106	original_stan_ncp46	1822.3951125164915	z_intercept[715]	34.95464002832	33.385148707869845
centered_total	107	original_physical46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	107	original_physical_plus_raw_intercepts48	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	107	original_stan_ncp46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	108	original_physical46	1763.6068204014198	deviation_load[712]	33.827045043759014	32.30818364081961
centered_total	108	original_physical_plus_raw_intercepts48	1763.6068204014198	deviation_load[712]	33.827045043759014	32.30818364081961
centered_total	108	original_stan_ncp46	1880.0309805516538	z_load[705]	36.06013082230424	34.4410020801959
centered_total	109	original_physical46	1847.6207430420232	deviation_load[705]	35.438482872526144	33.84726662102741
centered_total	109	original_physical_plus_raw_intercepts48	1847.6207430420232	deviation_load[705]	35.438482872526144	33.84726662102741
centered_total	109	original_stan_ncp46	1861.2625772528127	z_load[705]	35.70014150016903	34.09717656681651
centered_total	110	original_physical46	1729.6006900248185	deviation_intercept[706]	33.17478690395923	31.685212413666598
centered_total	110	original_physical_plus_raw_intercepts48	1729.6006900248185	deviation_intercept[706]	33.17478690395923	31.685212413666598
centered_total	110	original_stan_ncp46	1755.8611725118824	z_intercept[706]	33.67847883443076	32.1662881732259
centered_total	111	original_physical46	1806.214494970651	deviation_load[705]	34.64428600143185	33.08872982524504
centered_total	111	original_physical_plus_raw_intercepts48	1806.214494970651	deviation_load[705]	34.64428600143185	33.08872982524504
centered_total	111	original_stan_ncp46	1810.4946805833624	z_intercept[720]	34.72638254916684	33.16714017226377
centered_total	112	original_physical46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	112	original_physical_plus_raw_intercepts48	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	112	original_stan_ncp46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	113	original_physical46	1851.2454074974855	deviation_intercept[705]	35.50800612815493	33.913668226821144
centered_total	113	original_physical_plus_raw_intercepts48	1851.2454074974855	deviation_intercept[705]	35.50800612815493	33.913668226821144
centered_total	113	original_stan_ncp46	1867.786849036268	z_intercept[706]	35.825280977372024	34.216697181311815
centered_total	114	original_physical46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	114	original_physical_plus_raw_intercepts48	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	114	original_stan_ncp46	1894.5589177510224	log_tau_load	36.33878544098171	34.70714488341588
centered_total	115	original_physical46	1885.7875294302683	deviation_load[712]	36.170544910048115	34.546458487007314
centered_total	115	original_physical_plus_raw_intercepts48	1885.7875294302683	deviation_load[712]	36.170544910048115	34.546458487007314
centered_total	115	original_stan_ncp46	1873.111400171413	z_load[706]	35.92740908722213	34.31423965727028
centered_total	116	original_physical46	1744.5384856943688	deviation_load[702]	33.461302855884014	31.95886356997763
centered_total	116	original_physical_plus_raw_intercepts48	1744.5384856943688	deviation_load[702]	33.461302855884014	31.95886356997763
centered_total	116	original_stan_ncp46	1832.0433202418217	z_intercept[710]	35.1396984855344	33.5618978922055
centered_total	117	original_physical46	1672.655701095695	deviation_load[705]	32.08254758891543	30.642015518267993
centered_total	117	original_physical_plus_raw_intercepts48	1672.655701095695	deviation_load[705]	32.08254758891543	30.642015518267993
centered_total	117	original_stan_ncp46	1772.0349367611798	z_load[706]	33.9887014109479	32.46258150770659
centered_total	118	original_physical46	1688.4422620689468	deviation_intercept[719]	32.3853433725055	30.931215528769613
centered_total	118	original_physical_plus_raw_intercepts48	1688.4422620689468	deviation_intercept[719]	32.3853433725055	30.931215528769613
centered_total	118	original_stan_ncp46	1726.0218420955027	population_intercept_at_mean_load	33.10614243700135	31.61965013822893
centered_total	119	original_physical46	1752.5602862489445	deviation_load[710]	33.61516584028204	32.10581798320011
centered_total	119	original_physical_plus_raw_intercepts48	1752.5602862489445	deviation_load[710]	33.61516584028204	32.10581798320011
centered_total	119	original_stan_ncp46	1827.8294272123164	z_load[705]	35.058873469624	33.484701984214496
centered_total	120	original_physical46	1602.9340873105757	deviation_load[712]	30.74524488473561	29.364758776092764
centered_total	120	original_physical_plus_raw_intercepts48	1602.9340873105757	deviation_load[712]	30.74524488473561	29.364758776092764
centered_total	120	original_stan_ncp46	1764.3685506125846	population_load	33.841655489730414	32.322138066070394
