index	centeredness
3	1.0
4	0.7
5	0.3
6	1.0
7	0.2
8	0.6
9	1.0
10	1.0
11	0.6
12	0.2
13	0.9
14	0.5
15	1.0
16	0.6
17	1.0
18	0.3
19	0.3
20	0.3
21	0.2
22	0.1
25	0.9
26	1.0
27	0.6
28	0.6
29	0.0
30	0.1
31	0.4
32	0.6
33	0.1
34	0.2
35	0.2
36	0.0
37	0.1
38	0.0
39	0.1
40	0.0
41	0.0
42	0.0
43	0.0
44	0.0
