backend	geometry	chains	draws_per_chain	parameters	max_rhat	min_ess	divergences	gradient_evaluations	elapsed_seconds
StanBlocks	noncentered	4	75	20	2.043219409773833	2.8599302563740294	31	91535	4.689693583
StanBlocks	centered	4	75	20	3.9868626887275247	2.223022292647555	0	126232	1.516749202
StanBlocks	adaptive	4	75	20	3.970990121312901	2.170448040215557	0	125007	1.492619704
Turing	noncentered	4	75	20	3.4146904230887714	2.180367510496223	29	111017	282.332741932
Turing	centered	4	75	20	6.63559273951763	2.0745932076819815	0	125987	314.536258818
Turing	adaptive	4	75	20	4.291876045610004	2.1945845588268367	0	124749	307.244491331
