predictor	basis	centeredness
mu	1	0.7
mu	2	0.6
mu	3	0.8
mu	4	0.8
mu	5	0.5
mu	6	0.9
mu	7	0.9
mu	8	0.6
log(sigma)	1	0.9
log(sigma)	2	0.9
log(sigma)	3	0.9
log(sigma)	4	0.9
log(sigma)	5	0.9
log(sigma)	6	0.4
log(sigma)	7	0.9
log(sigma)	8	0.8
