coordinate	centeredness
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	0.0
11	1.0
12	1.0
13	0.1
14	0.9
15	0.0
16	1.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.9
22	0.9
23	1.0
24	0.8
25	1.0
26	0.9
27	1.0
28	0.7
29	0.1
30	1.0
31	0.0
32	0.4
33	0.0
34	0.9
35	1.0
36	1.0
37	0.0
38	0.2
39	0.1
40	0.0
