parameter	baseline_mean	partial_mean	baseline_sd	partial_sd	baseline_mcse	partial_mcse	standardized_mean_difference
log_tau_intercept	7.79863149065233	7.817458543777932	0.15763403164276035	0.16352449804194724	0.012683194210680714	0.002479282824294686	1.4568363652746736
log_tau_load	4.111207671463991	4.099247263939628	0.21703826315576003	0.21922313056576195	0.010151451755421296	0.004465995343828243	-1.078446398081848
log_sigma_intercept	6.051494169134143	6.051952357857564	0.014756966360621444	0.01500740812485947	0.00035260534565845333	0.00021152992542254566	1.1143051415904146
log_sigma_subj_slope	0.07817435376450198	0.07820889054653188	0.002830257730444974	0.002754934960897716	5.5173891736945504e-5	3.958675402265516e-5	0.508594454942956
total_intercept[701]	613.135191443637	613.0739891413139	52.31761990419534	52.97469495112618	1.3384643034850137	1.287280493070019	-0.03295700579288367
total_intercept[702]	1554.4517929641586	1553.7887177828536	33.313423388686324	34.68513053702602	0.6736589816303474	0.7706636509271853	-0.6477929858727693
total_intercept[703]	1834.5230205771975	1834.9730137310942	36.96013394036159	36.05942664982907	0.8223619553338141	0.7779759897426949	0.3975046607674083
total_intercept[704]	4815.73222835187	4815.939857016051	40.66468070637211	40.46927982914076	0.9369119890197057	0.9235228694527917	0.15782528890380307
total_intercept[705]	4120.377613654992	4120.990351712471	46.97794494185163	46.16085491448732	0.9459348134239167	1.072683585402892	0.42843129996498025
total_intercept[706]	5512.467970616476	5511.278982130066	47.57379393860294	46.03626315301903	1.0803891658544196	0.9600138918107217	-0.8226634656374814
total_intercept[707]	5381.541705069411	5383.274003349659	49.353986070735985	50.48690210442954	0.9924640403186584	1.1344385477792773	1.1492768460332219
total_intercept[708]	5019.109547710407	5018.520938972227	53.17664179234662	53.474681992512075	1.093152003439742	1.0678299007695071	-0.3851773657541663
total_intercept[709]	4327.713640745371	4327.364397962557	60.21856797499035	57.19342810586628	1.2373475639593319	1.1605597437472726	-0.20586735484326518
total_intercept[710]	5653.825057803762	5653.71650930631	65.18554490840917	63.09183281518156	1.3246062968500667	1.3963929858326698	-0.05639742785010946
total_intercept[711]	3735.1870220602086	3732.887104852166	71.23829396114833	68.28603884177558	1.6841690586130835	1.6775170341346028	-0.9675405883874396
total_intercept[712]	6561.949990260852	6560.205503853459	77.79541854918604	74.75769846055512	1.6580054345441282	1.6171395218557878	-0.7532137789733402
total_intercept[713]	9354.854542892916	9356.852139195256	76.82572080786264	76.29195226295657	1.8125036543021527	1.6497214174925754	0.8150569177037752
total_intercept[714]	5618.186496780291	5617.342277429453	82.04038724971093	83.50866833712858	1.7924027387431984	1.8126855207426626	-0.33116735967718985
total_intercept[715]	6384.564010782527	6385.537625754794	90.36237590038718	92.40261473299411	2.463989264619094	2.1371500698793144	0.2984997085399874
