arm	retained_draws	min_bulk_ess	limiting_parameter	min_tail_ess	max_split_rhat	divergences	divergence_percent	sampling_gradients	transition_gradients	all_gradient_calls	min_bulk_ess_per_1000_sampling_gradients	min_bulk_ess_per_1000_all_gradients	min_total_coefficient_ess_per_1000_gradients	fit_seconds	compile_seconds
scaled_total	2000	98.87039931613431	log_tau_intercept	155.12928809539778	1.0076086797230281	0	0.0	81728	87654	87776	1.2097494043184014	1.126394450830914	14.424057586953586	32.631106787	31.884835126
partial	2000	1648.8967236823212	total_intercept[711]	1058.1610512542786	1.0062323381332656	0	0.0	30224	34528	34666	54.555873599865045	47.565243283976265	54.555873599865045	0.995097082	0.757642214
online	2000	4.429436961906255	total_load[705]	NaN	2.1647863946245973	1024	51.2	3955	36569	36696	1.119958776714603	0.12070626122482711	1.119958776714603	1.856162229	0.736177629
