coordinate	centeredness
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	0.97
7	1.0
8	0.99
9	1.0
10	1.0
11	1.0
12	0.99
13	1.0
14	1.0
15	0.98
16	0.98
17	1.0
18	0.98
19	1.0
20	0.99
21	1.0
22	0.97
23	1.0
24	0.96
25	1.0
26	1.0
27	1.0
28	1.0
29	0.92
30	0.64
31	0.94
32	0.79
33	1.0
34	0.98
35	1.0
36	0.88
37	0.66
38	0.59
39	0.92
40	0.65
