row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	10000	9502	0.975	0.09766187669243595	0.22689721886983835	-0.6310743834569387	-0.2167035845135434
2	1	10000	9505	0.975	0.5408339211930677	1.759441948479798	-0.6310743834569387	-0.2167035845135434
3	1	10000	9510	0.975	0.09766187669243595	0.22689721886983835	-0.7163064524966559	-0.10244890164618208
4	1	10000	9524	0.975	0.5408339211930677	1.759441948479798	-0.7163064524966559	-0.10244890164618208
5	1	10000	9523	0.975	0.09766187669243595	0.22689721886983835	-0.0503724805897221	0.12406013268248021
6	1	10000	9501	0.975	0.5408339211930677	1.759441948479798	-0.0503724805897221	0.12406013268248021
7	1	10000	9528	0.975	0.09766187669243595	0.22689721886983835	-0.041836048683708035	0.11165517107686507
8	1	10000	9502	0.975	0.5408339211930677	1.759441948479798	-0.041836048683708035	0.11165517107686507
1	2	10000	9506	0.975	0.10152521423084343	0.2271245111492674	-0.6360815396749159	-0.21550138926382215
2	2	10000	9512	0.975	0.542970554877443	1.6815301039381139	-0.6360815396749159	-0.21550138926382215
3	2	10000	9503	0.975	0.10152521423084343	0.2271245111492674	-0.7404224228505488	-0.11800795504965501
4	2	10000	9507	0.975	0.542970554877443	1.6815301039381139	-0.7404224228505488	-0.11800795504965501
5	2	10000	9506	0.975	0.10152521423084343	0.2271245111492674	-0.6484577825957852	1.237199873162912
6	2	10000	9509	0.975	0.542970554877443	1.6815301039381139	-0.6484577825957852	1.237199873162912
7	2	10000	9500	0.975	0.10152521423084343	0.2271245111492674	-0.7013426592894948	1.4082333365835402
8	2	10000	9501	0.975	0.542970554877443	1.6815301039381139	-0.7013426592894948	1.4082333365835402
1	3	10000	9505	0.975	0.1015329297481676	0.22541922676829623	-0.6296436137537619	-0.21286933906350827
2	3	10000	9515	0.975	0.5454714864971622	1.7177904641478774	-0.6296436137537619	-0.21286933906350827
3	3	10000	9504	0.975	0.1015329297481676	0.22541922676829623	-0.7381599545094674	-0.11730334587069355
4	3	10000	9519	0.975	0.5454714864971622	1.7177904641478774	-0.7381599545094674	-0.11730334587069355
5	3	10000	9504	0.975	0.1015329297481676	0.22541922676829623	-0.17502233120985433	0.3932959100299704
6	3	10000	9505	0.975	0.5454714864971622	1.7177904641478774	-0.17502233120985433	0.3932959100299704
7	3	10000	9505	0.975	0.1015329297481676	0.22541922676829623	-0.20318200836543734	0.43246323445256685
8	3	10000	9504	0.975	0.5454714864971622	1.7177904641478774	-0.20318200836543734	0.43246323445256685
