row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1000	951	0.975	-2.3857315775068777	-1.5031591791504553	-26.182240741396342	27.686719233867677
2	1	1000	949	0.975	-1.439076635730062	0.03415026401822653	-20.569283306919132	21.643207536678606
3	1	1000	948	0.975	-0.03385104900130605	0.1084822025291339	-722089.9762269312	264878.8661787444
4	1	1000	948	0.975	-0.06514987150638345	0.026124956246974647	-3.1458894992761863e6	1.479764881147862e6
1	2	1000	953	0.975	-2.2212538242536777	-1.4152270567202645	-25.239735371125953	25.96608592373046
2	2	1000	948	0.975	-1.472402538985028	-0.032162358265856714	-20.431678190719555	22.996640621891714
3	2	1000	970	0.975	-2.1354389593186522	2.480713028110512	-2.3987202661904306	2.239126708435843
4	2	1000	971	0.975	-2.230735646139575	2.2781288598359275	-2.309888904490909	2.2374526777236157
1	3	1000	950	0.975	-2.236698840491746	-1.4269514057690527	-23.276065008676646	28.03849118944104
2	3	1000	950	0.975	-1.4323981870578901	-0.07571911126964984	-20.134192752425015	19.661332211517248
3	3	1000	969	0.975	-2.1227299841186427	2.310771623528118	-2.3475043222572336	2.2712500347041575
4	3	1000	971	0.975	-2.1431396784054133	2.306510022824285	-2.3949182955431407	2.1353682128563927
