row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1000	948	0.975	-0.6230622117851099	-0.2096393672042863	-209.14211375919695	200.07325247357358
2	1	1000	948	0.975	-0.7140207462673661	-0.0884625214923221	-305.3910716965624	298.3025407002822
3	1	1000	949	0.975	-0.05288302103363339	0.11336070597178122	-286.49387075212087	272.920289199916
4	1	1000	948	0.975	-0.03791673044009446	0.12130733548220632	-332.4372709567241	342.22563989640025
1	2	1000	949	0.975	-0.6306880029479505	-0.21246928097029022	-218.4103313700585	206.3994385535874
2	2	1000	948	0.975	-0.8689875274810062	-0.15808648089824798	-249.87796639762985	254.8906220849053
3	2	1000	949	0.975	-0.6925167437610606	1.12184257079549	-23.889829341386875	20.58491533803769
4	2	1000	948	0.975	-0.9110608674277471	1.685122131039586	-17.269223018929146	13.307318932336141
1	3	1000	948	0.975	-0.6451422533219278	-0.20890115111107732	-195.4874600166961	200.85186885310162
2	3	1000	948	0.975	-0.7677449139108184	-0.12282832050481884	-289.23603915217524	289.7219394238117
3	3	1000	950	0.975	-0.1960889341884158	0.3598687791728369	-66.83338405075347	74.93690829624492
4	3	1000	951	0.975	-0.2054875570684839	0.4372652448946929	-48.24121300846432	56.24104307423386
