row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1000	951	0.975	-2.3857315775068777	-1.5031591791504553	-26.182240741396342	27.686719233867677
2	1	1000	949	0.975	-1.439076635730062	0.03415026401822653	-20.569283306919132	21.643207536678606
3	1	1000	948	0.975	-0.03385104900130605	0.1084822025291339	-722089.9762269312	264878.8661787444
4	1	1000	948	0.975	-0.06514987150638345	0.026124956246974647	-3.1458894992761863e6	1.479764881147862e6
1	2	1000	949	0.975	-2.2730614892101495	-1.4509051555079822	-24.728919391678943	29.140801116652007
2	2	1000	949	0.975	-1.4726040492335444	-0.09557671293050082	-21.09777876109674	20.74706338767954
3	2	1000	965	0.975	-1.9523342081398254	2.2068486880116156	-2.267211636515178	2.0312854712229695
4	2	1000	972	0.975	-2.265983773610933	2.3964960557950716	-2.448498022336179	2.234194470287188
1	3	1000	955	0.975	-2.272162235436083	-1.4856308711403996	-25.28503467364759	29.937166596695636
2	3	1000	949	0.975	-1.4380986740502242	0.0035472077835839123	-19.74525056146487	22.78716878704961
3	3	1000	968	0.975	-2.044629000144052	2.077162338687594	-2.455527684711045	2.431596361692938
4	3	1000	972	0.975	-2.1060436282518094	2.2617367494710394	-2.383328815870037	2.05559188591199
