row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	10000	9502	0.975	0.09766187669243595	0.22689721886983835	-0.6310743834569387	-0.2167035845135434
2	1	10000	9505	0.975	0.5408339211930677	1.759441948479798	-0.6310743834569387	-0.2167035845135434
3	1	10000	9510	0.975	0.09766187669243595	0.22689721886983835	-0.7163064524966559	-0.10244890164618208
4	1	10000	9524	0.975	0.5408339211930677	1.759441948479798	-0.7163064524966559	-0.10244890164618208
5	1	10000	9523	0.975	0.09766187669243595	0.22689721886983835	-0.0503724805897221	0.12406013268248021
6	1	10000	9501	0.975	0.5408339211930677	1.759441948479798	-0.0503724805897221	0.12406013268248021
7	1	10000	9528	0.975	0.09766187669243595	0.22689721886983835	-0.041836048683708035	0.11165517107686507
8	1	10000	9502	0.975	0.5408339211930677	1.759441948479798	-0.041836048683708035	0.11165517107686507
1	2	10000	9507	0.975	0.0993455035962901	0.22799508896910148	-0.6296529111119901	-0.2021203929844803
2	2	10000	9511	0.975	0.5464459257062054	1.7180984473748406	-0.6296529111119901	-0.2021203929844803
3	2	10000	9507	0.975	0.0993455035962901	0.22799508896910148	-0.8696921751705748	-0.11937464459828763
4	2	10000	9517	0.975	0.5464459257062054	1.7180984473748406	-0.8696921751705748	-0.11937464459828763
5	2	10000	9501	0.975	0.0993455035962901	0.22799508896910148	-0.6360609704501088	1.2321652118193407
6	2	10000	9506	0.975	0.5464459257062054	1.7180984473748406	-0.6360609704501088	1.2321652118193407
7	2	10000	9503	0.975	0.0993455035962901	0.22799508896910148	-0.9415436580344921	1.7182204044264842
8	2	10000	9509	0.975	0.5464459257062054	1.7180984473748406	-0.9415436580344921	1.7182204044264842
1	3	10000	9510	0.975	0.08835111616539022	0.2262233319539048	-0.6331188846373902	-0.22014160420039036
2	3	10000	9512	0.975	0.5440805755268853	1.7055806521502919	-0.6331188846373902	-0.22014160420039036
3	3	10000	9508	0.975	0.08835111616539022	0.2262233319539048	-0.7602956665666015	-0.10940083326518556
4	3	10000	9511	0.975	0.5440805755268853	1.7055806521502919	-0.7602956665666015	-0.10940083326518556
5	3	10000	9507	0.975	0.08835111616539022	0.2262233319539048	-0.16751277493081512	0.35656940120358277
6	3	10000	9503	0.975	0.5440805755268853	1.7055806521502919	-0.16751277493081512	0.35656940120358277
7	3	10000	9502	0.975	0.08835111616539022	0.2262233319539048	-0.20446468365589635	0.44091814625161896
8	3	10000	9505	0.975	0.5440805755268853	1.7055806521502919	-0.20446468365589635	0.44091814625161896
