arm	retained_draws	min_bulk_ess	limiting_parameter	min_tail_ess	max_split_rhat	divergences	divergence_percent	sampling_gradients	transition_gradients	all_gradient_calls	min_bulk_ess_per_1000_sampling_gradients	min_bulk_ess_per_1000_all_gradients	min_total_coefficient_ess_per_1000_gradients	min_common_bulk_ess_per_1000_gradients	fit_seconds	compile_seconds
scaled_total	2000	96.23366761153939	log_tau_intercept	220.99574166444813	1.0300365760403736	0	0.0	127088	134536	134652	0.7572207258870971	0.7146842795616805	12.402816243012673	0.7572207258870971	26.512575013	25.778063622
partial	2000	1924.9395702248705	total_load[702]	1064.1021615357956	1.0062853482176064	0	0.0	29864	34130	34280	64.45685675813255	56.15342970317592	64.45685675813255	64.45685675813255	0.767386384	0.597140749
