coordinate	centeredness
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	0.98
7	1.0
8	1.0
9	1.0
10	0.83
11	1.0
12	1.0
13	1.0
14	1.0
15	0.99
16	1.0
17	1.0
18	0.99
19	0.99
20	1.0
21	1.0
22	1.0
23	1.0
24	1.0
25	1.0
26	1.0
27	1.0
28	1.0
29	1.0
30	0.77
31	0.9
32	0.78
33	0.93
34	1.0
35	1.0
36	0.88
37	0.63
38	0.64
39	0.97
40	0.6
