parameter	baseline_mean	partial_mean	baseline_sd	partial_sd	baseline_mcse	partial_mcse	standardized_mean_difference
log_tau_intercept	7.831075042407582	7.81775904416486	0.15173640971586988	0.1611178211379436	0.016702562396953863	0.0027827000104821663	-0.7864035855794836
log_tau_load	4.080487180951077	4.100511972688635	0.21810176843988532	0.21914992282435508	0.010445885618230117	0.0048575678152543815	1.7382494748806772
log_sigma_intercept	6.051096673535706	6.051527255072198	0.015142444183436259	0.015140448031641968	0.00026085090707818245	0.00023374942038804195	1.2293201549902724
log_sigma_subj_slope	0.07826013586507267	0.0781729346533416	0.0028118754191019464	0.002714624372042414	4.005211101166372e-5	3.9580120253597875e-5	-1.5486062388577426
total_intercept[701]	614.5732989556934	614.5654107169802	53.57860914755959	52.61496439401641	1.0679575641953152	1.1933562148231331	-0.004925694597067414
total_intercept[702]	1554.9440048304018	1553.9641066220304	34.88003573266693	34.165006315755654	0.6804879261099146	0.7669289078283033	-0.9557168580230564
total_intercept[703]	1835.4698560925863	1834.3403547083717	36.70314140903989	37.01323190639679	0.7359644994827689	0.7203075578095409	-1.0968169410776425
total_intercept[704]	4816.185550432952	4816.374876390867	40.765556422220676	41.069995737407666	0.7800671329286977	0.9190017316276485	0.1570605293473956
total_intercept[705]	4118.830257909918	4118.476528234561	46.97822878188663	46.141666021953085	0.9688245481641888	0.9229546618681526	-0.26435554131457206
total_intercept[706]	5511.812933721297	5511.354961208945	46.027731625587236	46.882505183869064	0.9153516099259954	0.9044310395687596	-0.35589924795540545
total_intercept[707]	5383.8201614029385	5383.078731077386	50.87510285497479	51.27759270154621	1.08460384209496	1.0777668251190091	-0.4849009453915822
total_intercept[708]	5018.4233625304605	5019.19744262138	52.4512358812668	52.66907291265195	1.040606171061999	1.044281995572319	0.5250703030654408
total_intercept[709]	4326.837461749792	4326.571166588921	57.09656191777569	60.772540416925004	1.177951247993284	1.1998375176162104	-0.15837499169524946
total_intercept[710]	5654.483962543418	5654.699901850624	64.51400826876824	64.03634604123822	1.274006411632612	1.3622261879833666	0.11577637205281772
total_intercept[711]	3736.017973558548	3734.600526711014	68.55503717261546	67.18147417948299	1.4633409723764985	1.3435911066978432	-0.7135017029920802
total_intercept[712]	6562.732218027392	6562.869067262748	75.40671242289686	73.87721769729914	1.5346065146052768	1.509955103295651	0.06356504655393486
total_intercept[713]	9356.553825404582	9360.488693216617	75.07836883862774	79.23257213102072	1.6684957290082365	1.7834959413379508	1.6111446827945866
total_intercept[714]	5618.414462184912	5616.347235804873	82.44256454407873	82.42907962539077	1.8098394157566398	1.5817724977462992	-0.8600371254207085
total_intercept[715]	6382.6827870903535	6385.7772512329975	90.97078886229787	88.38300787229612	1.8234094887124932	1.8475166961823712	1.1921075434381023
total_intercept[716]	6236.166584081704	6239.215912121473	122.15185681154455	120.86276861147388	2.6111244602361663	2.4282409302583785	0.8551799175685896
total_intercept[717]	6955.482547641332	6956.7195826965835	101.88931251884593	107.1800350635905	2.198445715257158	2.16222119135323	0.40117060771888696
total_intercept[718]	6779.9883230186615	6780.092103581637	115.83779541015417	118.41094803868128	2.764499277003685	2.401526800079599	0.02834034147816626
total_intercept[719]	10158.354601890285	10159.18726397279	113.6507287555712	115.02867990112733	2.565469529822477	2.1664649220298675	0.24797424749557373
total_intercept[720]	8778.375854031183	8772.959643674907	119.3894218421853	122.25639093133663	2.396609103202354	2.507318832656739	-1.56154965158399
total_load[701]	35.47627158161528	35.60663114092845	17.977666361506994	17.37220968532945	0.32006977501933315	0.3899207698846321	0.25841255413963804
total_load[702]	22.41945266527964	22.51826696837276	11.686235301268306	11.372215823770903	0.2070513263911536	0.2598563398622831	0.29740207250780326
total_load[703]	20.874903742891277	20.920738425646793	12.210744085060215	12.087170532097725	0.23485049063680852	0.25344292265487084	0.13265198941785558
total_load[704]	69.70734139489836	69.60289065844316	13.547031070583529	13.72575666743643	0.23793176992494075	0.3017780265923007	-0.27179937418065214
total_load[705]	37.75490917321801	37.94591398121255	15.663882722853836	15.03542500622282	0.3084475941957046	0.3078261858842731	0.43831404378210914
total_load[706]	52.55514804665702	52.409576586234756	14.657575861427722	15.076008457499029	0.27790526746549143	0.30918092671262826	-0.3501660059807321
total_load[707]	57.79146684326412	57.671188695122794	16.55367365118818	16.709469069344618	0.33127956057065927	0.35740357967930486	-0.2468141437938293
total_load[708]	34.06508870052508	33.995910763989315	17.07001494108186	17.119130683419407	0.3432953262557168	0.33162270766753643	-0.1449327814472182
total_load[709]	14.870958929950422	15.543506450810833	18.710703817263337	19.465822206047562	0.3761650289153768	0.38865677081509775	1.2434255776882404
total_load[710]	-15.446349157095993	-15.7659704454077	20.739777116955867	20.506628196996463	0.38425072213802125	0.4572377288037833	-0.5351493930762901
total_load[711]	72.42372330387911	72.81801785316848	22.55087907009577	21.99319690129932	0.4619217148620885	0.42960521990958944	0.6250520284004119
total_load[712]	174.4449426710939	175.0566733967015	24.415330198062573	23.87788854141176	0.4663103032921422	0.4930211089704325	0.9014431666777006
total_load[713]	46.430432683548474	44.37865611690817	24.711112639708546	25.439441322186422	0.519143763551451	0.569284467735446	-2.663084391533014
total_load[714]	55.78871474578569	56.136601804875085	26.153608723273777	25.99637623573073	0.5482240137939159	0.48307762202051613	0.47610506222307897
total_load[715]	16.90064048707781	15.925100896738044	28.34520361443429	28.479389242228045	0.5695784195071185	0.5887220840251789	-1.1909111056194326
total_load[716]	24.693336291595326	23.337393266961488	37.54344876347463	36.411827170815805	0.7535547010864694	0.7761999850658989	-1.2533924302697417
total_load[717]	150.9737649597818	151.8380701904109	32.60079658594047	33.783789006422055	0.7591590162293868	0.6844825750310306	0.8455562302702675
total_load[718]	170.22711525630567	170.45833479037464	36.47786312556933	37.634155811942534	0.9310754712684337	0.7649917905467496	0.19187755220617203
total_load[719]	27.425536949319007	27.200885404726666	36.394593370156166	35.35712806012237	0.8279146964589776	0.6705556532153435	-0.21086024838862477
total_load[720]	100.72808241025007	102.480507643258	36.97532511907968	37.146317453633394	0.7648595147758829	0.7774289805471087	1.606846733312499
