index	centeredness	loss	admissible
2	0.0	-0.9640896004471919	true
2	0.01	-0.9649023022872278	true
2	0.02	-0.965103397635946	true
2	0.03	-0.9646903293397453	true
2	0.04	-0.9636600768163347	true
2	0.05	-0.9620091505398565	true
2	0.06	-0.9597335869570535	true
2	0.07	-0.9568289447168568	true
2	0.08	-0.953290303407003	true
2	0.09	-0.9491122663300615	true
2	0.1	-0.9442889692202807	true
2	0.11	-0.9388140972026549	true
2	0.12	-0.9326809127241906	true
2	0.13	-0.9258822976377145	true
2	0.14	-0.9184108130788056	true
2	0.15	-0.9102587812271179	true
2	0.16	-0.9014183934567966	true
2	0.17	-0.8918818497184012	true
2	0.18	-0.8816415342065147	true
2	0.19	-0.8706902323898589	true
2	0.2	-0.8590213942380387	true
2	0.21	-0.8466294478832973	true
2	0.22	-0.8335101669114386	true
2	0.23	-0.8196610928868144	true
2	0.24	-0.805082012494908	true
2	0.25	-0.7897754857694038	true
2	0.26	-0.7737474182385111	true
2	0.27	-0.7570076655219153	true
2	0.28	-0.739570654067456	true
2	0.29	-0.7214559965757744	true
2	0.3	-0.7026890755838735	true
2	0.31	-0.683301564147485	true
2	0.32	-0.6633318491600367	true
2	0.33	-0.642825321209972	true
2	0.34	-0.6218344956265623	true
2	0.35	-0.6004189330021211	true
2	0.36	-0.5786449342895158	true
2	0.37	-0.5565849955201547	true
2	0.38	-0.5343170198374642	true
2	0.39	-0.5119232990493114	true
2	0.4	-0.48948929206119096	true
2	0.41	-0.46710224191186184	true
2	0.42	-0.4448496851913787	true
2	0.43	-0.4228179160378854	true
2	0.44	-0.40109047071568016	true
2	0.45	-0.3797466975326422	true
2	0.46	-0.35886047071938104	true
2	0.47	-0.33849909659326444	true
2	0.48	-0.3187224470408111	true
2	0.49	-0.29958234050035615	true
2	0.5	-0.28112217568364173	true
2	0.51	-0.2633768095544574	true
2	0.52	-0.246372659596351	true
2	0.53	-0.23012800177936493	true
2	0.54	-0.2146534301152375	true
2	0.55	-0.1999524411642271	true
2	0.56	-0.18602210695631738	true
2	0.57	-0.1728538019848561	true
2	0.58	-0.16043395362490245	true
2	0.59	-0.14874478993711937	true
2	0.6	-0.13776506382415316	true
2	0.61	-0.12747073749310447	true
2	0.62	-0.11783561583893486	true
2	0.63	-0.10883192150038712	true
2	0.64	-0.1004308078458993	true
2	0.65	-0.0926028089895915	true
2	0.66	-0.08531822813802974	true
2	0.67	-0.07854746718389331	true
2	0.68	-0.07226130156954474	true
2	0.69	-0.06643110512644951	true
2	0.7	-0.061029029939470694	true
2	0.71	-0.056028146366147835	true
2	0.72	-0.05140254822881022	true
2	0.73	-0.04712742794975617	true
2	0.74	-0.04317912606407383	true
2	0.75	-0.0395351591582502	true
2	0.76	-0.036174229873947	true
2	0.77	-0.03307622220607034	true
2	0.78	-0.030222184927204146	true
2	0.79	-0.027594305596337812	true
2	0.8	-0.025175877264497163	true
2	0.81	-0.02295125967641117	true
2	0.82	-0.02090583648663814	true
2	0.83	-0.019025969760101277	true
2	0.84	-0.01729895280921852	true
2	0.85	-0.015712962230632736	true
2	0.86	-0.014257009841495857	true
2	0.87	-0.012920895075746092	true
2	0.88	-0.01169515828225449	true
2	0.89	-0.010571035266626477	true
2	0.9	-0.009540413334495852	true
2	0.91	-0.008595789024207419	true
2	0.92	-0.007730227658919436	true
2	0.93	-0.006937324800638901	true
2	0.94	-0.006211169650007931	true
2	0.95	-0.005546310404446577	true
2	0.96	-0.004937721562360958	true
2	0.97	-0.004380773141536023	true
2	0.98	-0.0038712017646804846	true
2	0.99	-0.003405083553630993	true
2	1.0	-0.0029788087653201587	true
3	0.0	-0.9581366087545257	true
3	0.01	-0.9617913286989451	true
3	0.02	-0.96487108393285	true
3	0.03	-0.9673683477421108	true
3	0.04	-0.9692752683900656	true
3	0.05	-0.970583665760817	true
3	0.06	-0.9712850307314488	true
3	0.07	-0.9713705279112079	true
3	0.08	-0.9708310025981676	true
3	0.09	-0.9696569930296818	true
3	0.1	-0.9678387492415083	true
3	0.11	-0.9653662600995705	true
3	0.12	-0.962229290324487	true
3	0.13	-0.9584174295854656	true
3	0.14	-0.9539201559882797	true
3	0.15	-0.9487269165089045	true
3	0.16	-0.9428272271131625	true
3	0.17	-0.9362107954321688	true
3	0.18	-0.9288676689068192	true
3	0.19	-0.9207884112407578	true
3	0.2	-0.9119643097739232	true
3	0.21	-0.9023876159683644	true
3	0.22	-0.8920518205432167	true
3	0.23	-0.8809519638665826	true
3	0.24	-0.8690849809744758	true
3	0.25	-0.856450079017899	true
3	0.26	-0.8430491430337176	true
3	0.27	-0.8288871637142535	true
3	0.28	-0.8139726783690593	true
3	0.29	-0.7983182136258595	true
3	0.3	-0.7819407157474428	true
3	0.31	-0.764861951935516	true
3	0.32	-0.747108863881193	true
3	0.33	-0.7287138533646339	true
3	0.34	-0.7097149791725986	true
3	0.35	-0.6901560452423282	true
3	0.36	-0.6700865619501347	true
