qoi	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau	0.8331295193020973	1.1344330168274548	3964.5080546891486	3154.8258330236745	1.0005157255380945
theta[1]	6.215952270867153	5.565143924389155	9609.464743308694	8273.516736402462	0.9999493180673179
theta[2]	4.920008568529301	4.759908574939198	11587.779953078776	7938.264608689639	0.9999260274974962
theta[3]	3.868747482277395	5.371945328757399	10654.033448179087	8041.615706624904	0.999998429659361
theta[4]	4.811724456580231	4.803832415820245	10821.661618116834	7953.947529769125	1.0000300565099332
theta[5]	3.5432459584464473	4.705230260564931	10768.325630477235	7673.440935206855	1.0001884261457499
theta[6]	4.023523642165025	4.83284977119431	11610.06619996255	8090.3842009414875	0.9999083619802037
theta[7]	6.356873718017521	5.112251563467864	9244.424854860765	8491.108364272248	1.000047013229699
theta[8]	4.787876453975576	5.287824107746618	10024.144824389059	7934.550762351013	0.9999737893645145
mu	4.37366776235944	3.3393702328343355	9693.452218134893	7264.5885668860865	1.000000883702973
