coordinate	centeredness
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	0.9
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	0.9
16	1.0
17	0.9
18	1.0
19	1.0
20	1.0
21	1.0
22	1.0
23	0.9
24	0.9
25	1.0
26	0.8
27	1.0
28	1.0
29	0.9
30	0.3
31	1.0
32	0.8
33	0.8
34	0.6
35	1.0
36	0.8
37	0.5
38	0.7
39	0.7
40	0.6
