prior	arm	qoi	bulk_ess	mcse	mean	sd
Gaussian	brms NCP / Native Stan	population_intercept_at_mean_load	230.3945156484024	34.06604624118334	5570.106203851272	518.0741191259044
Gaussian	brms NCP / Native Stan	population_load	364.615176788096	0.7559760423484536	57.425830721192234	14.44152147473943
Gaussian	brms NCP / Native Stan	log_tau_intercept	397.003017647673	0.007825837455485457	7.827167018932152	0.1554713972308646
Gaussian	brms NCP / Native Stan	log_tau_load	458.410834910328	0.009946799750375854	4.095522135125658	0.21361869715763263
Gaussian	brms NCP / Native Stan	log_sigma_intercept	1886.8221012717418	0.0003355935773764194	6.051521937908909	0.014581314094094905
Gaussian	brms NCP / Native Stan	log_sigma_subj_slope	3029.888950877561	5.197575311817452e-5	0.07827047388793008	0.0028700635589597318
Gaussian	brms NCP / Native Stan	total_intercept[701]	2446.688187899267	1.0512124898962951	613.9562754869414	52.06066849759835
Gaussian	brms NCP / Native Stan	total_intercept[702]	2820.9158882722163	0.6625827885399751	1554.9654119867027	35.39992179408353
Gaussian	brms NCP / Native Stan	total_intercept[703]	2491.564707592878	0.7282746023131492	1835.7978940312028	36.51370096595799
Gaussian	brms NCP / Native Stan	total_intercept[704]	3021.004345182742	0.7661403381079699	4815.717928526688	42.030812884027085
Gaussian	brms NCP / Native Stan	total_intercept[705]	2593.3448636647413	0.9367058936903272	4121.62171118416	47.60404732273328
Gaussian	brms NCP / Native Stan	total_intercept[706]	2220.014837979986	1.0234818960602419	5511.578690361365	48.232282290893224
Gaussian	brms NCP / Native Stan	total_intercept[707]	2705.093402393807	0.9819855271985053	5383.134768870712	50.1717570264916
Gaussian	brms NCP / Native Stan	total_intercept[708]	2657.106665977521	1.05018731005438	5020.345715918363	54.26878637319895
Gaussian	brms NCP / Native Stan	total_intercept[709]	2883.4119234317914	1.097314483809298	4326.6610477438835	58.97289661382873
Gaussian	brms NCP / Native Stan	total_intercept[710]	2478.5844870642095	1.260512653650874	5654.091936773322	62.833485791039294
Gaussian	brms NCP / Native Stan	total_intercept[711]	2432.4136197898974	1.3739559124008713	3735.2796754231535	67.8534870793064
Gaussian	brms NCP / Native Stan	total_intercept[712]	2665.0196081639365	1.4149379047440853	6562.535306995498	73.15425259153204
Gaussian	brms NCP / Native Stan	total_intercept[713]	2338.0723236055933	1.5904967129518781	9357.831300501864	76.900241252285
Gaussian	brms NCP / Native Stan	total_intercept[714]	2143.8948124519757	1.7414433113741	5619.105313996071	80.65640909596564
Gaussian	brms NCP / Native Stan	total_intercept[715]	2172.3428175126714	1.9370102699794967	6386.778579686137	90.41412078383487
Gaussian	brms NCP / Native Stan	total_intercept[716]	1913.9601822010827	2.8553579546306462	6235.223847415019	124.77783888820608
Gaussian	brms NCP / Native Stan	total_intercept[717]	1779.9773797745352	2.46748915465553	6958.46074340708	104.4420219022967
Gaussian	brms NCP / Native Stan	total_intercept[718]	1997.012795671168	2.497365300466444	6781.295812723967	111.70569666358212
Gaussian	brms NCP / Native Stan	total_intercept[719]	2017.8630187598988	2.6036730985585352	10154.489696473605	117.04284528914992
Gaussian	brms NCP / Native Stan	total_intercept[720]	2083.286138156273	2.7085032288764173	8775.391260805476	123.28928696884873
Gaussian	brms NCP / Native Stan	total_load[701]	2775.137905486622	0.32783827175773517	35.854997950401824	17.272879108137978
Gaussian	brms NCP / Native Stan	total_load[702]	3493.305858269672	0.19871014130917175	22.49920713242657	11.800774258268145
Gaussian	brms NCP / Native Stan	total_load[703]	3202.9423951082663	0.21264133623246445	20.465898270249404	12.06857122589256
Gaussian	brms NCP / Native Stan	total_load[704]	3622.0789979654596	0.23130408205746072	69.94707020003364	13.866917080485438
Gaussian	brms NCP / Native Stan	total_load[705]	2741.502854636867	0.2965101479386948	37.13512426128849	15.47064671817528
Gaussian	brms NCP / Native Stan	total_load[706]	3026.4151260271174	0.2945561950611867	52.58363750146498	16.2069235302081
Gaussian	brms NCP / Native Stan	total_load[707]	3191.1172894905458	0.29430803132468447	57.578382271268985	16.58735636620461
Gaussian	brms NCP / Native Stan	total_load[708]	2599.7491514345984	0.3402649097414454	33.61582857103794	17.358861469468366
Gaussian	brms NCP / Native Stan	total_load[709]	3517.657926851768	0.31996482482820776	14.946184428666024	18.971883113027374
Gaussian	brms NCP / Native Stan	total_load[710]	3531.509396877047	0.34941656932803344	-15.604318983776679	20.751010416332136
Gaussian	brms NCP / Native Stan	total_load[711]	2476.4713926245686	0.444435745756089	72.75615024597232	22.079562989074372
Gaussian	brms NCP / Native Stan	total_load[712]	2815.2145388572108	0.450646189792756	174.6292768079939	23.865149638581872
Gaussian	brms NCP / Native Stan	total_load[713]	2383.5078974658504	0.5003844557216538	45.233526935142436	24.487260862412803
Gaussian	brms NCP / Native Stan	total_load[714]	2304.9440644662345	0.5400252284822126	55.57781976118333	25.94373679811303
Gaussian	brms NCP / Native Stan	total_load[715]	2165.9852573635744	0.6174074843423827	16.393296188531163	28.819461310478793
Gaussian	brms NCP / Native Stan	total_load[716]	1760.6538555570455	0.8862180780559898	25.066941307520427	37.2591203817958
Gaussian	brms NCP / Native Stan	total_load[717]	1848.489983112937	0.7786265801313169	150.9736198895334	33.489721022189606
