parameter	bulk_ess	mean_ess	mcse
population_intercept_at_mean_load	170.2980565072976	168.25359235308605	43.513262176850915
population_load	401.42284325785033	398.0053928298275	0.7922137342931653
log_tau_intercept	322.0528388715402	323.5587032620139	0.008615822342735838
log_tau_load	513.9001301901803	519.8308410841776	0.009901510235389651
log_sigma_intercept	2509.4283387581327	2508.357656365061	0.0002991330088587515
log_sigma_subj_slope	3953.827855092968	3985.6238902760724	4.534684672562029e-5
deviation_intercept[701]	171.24533973943164	169.3958043932184	43.20527570532474
deviation_intercept[702]	169.63592805514494	167.51529605424363	43.423017070479396
deviation_intercept[703]	171.35802546343226	169.02475744231444	43.1750807664454
deviation_intercept[704]	172.5132957358701	170.14267030245995	43.190834142197396
deviation_intercept[705]	172.61589562896185	170.47334923144498	43.232815236191385
deviation_intercept[706]	172.1944664265845	170.34571773773962	43.01415739285054
deviation_intercept[707]	168.78955530232312	166.74573372602322	43.72691653984834
deviation_intercept[708]	172.74947449947302	170.24170341297247	43.275530726463636
deviation_intercept[709]	171.98695946020416	170.41358418975116	43.220985615769095
deviation_intercept[710]	173.13466231883132	170.493595769183	42.985886788917156
deviation_intercept[711]	173.90932287379968	171.8612591001206	43.089882296109856
deviation_intercept[712]	173.92140077011769	171.9490642995078	42.96043797900511
deviation_intercept[713]	174.25434967905616	172.546751435564	43.23544578577972
deviation_intercept[714]	170.7164197159952	169.15620473685092	43.54599720209594
deviation_intercept[715]	172.05617178985926	169.89060933082996	43.45798156548439
deviation_intercept[716]	176.87400559399282	175.7093313056732	43.04156115806915
deviation_intercept[717]	173.0453389708187	171.89128022108068	43.56895840051254
deviation_intercept[718]	177.17481053298025	176.88074046732666	42.959083236718556
deviation_intercept[719]	173.72750866635192	172.03264897915804	43.728582582581055
deviation_intercept[720]	175.07289879245232	173.42719486124614	43.43719249471562
deviation_load[701]	729.5994994907085	730.293289287765	0.8297712591108117
deviation_load[702]	557.0085636302503	556.717877128806	0.804757488039598
deviation_load[703]	610.5780909437669	603.5679396455872	0.8019083062233624
deviation_load[704]	588.3393413610099	590.0711236432519	0.8384596783349031
deviation_load[705]	794.0364203467379	790.4804974216966	0.7495529211008839
deviation_load[706]	797.9315060204327	791.9079641734569	0.7725312355734848
deviation_load[707]	745.4683408635008	744.5071091491187	0.7910134932890001
deviation_load[708]	759.8924444443754	760.7187280139362	0.8124758328865
deviation_load[709]	829.6982328807678	822.4992001939585	0.8420038264175476
deviation_load[710]	824.2439645659166	819.193743178831	0.8831343307185251
deviation_load[711]	833.3365520433009	832.9309437597321	0.8750891552708124
deviation_load[712]	950.5359056832095	950.6516655725422	0.9148955950412836
deviation_load[713]	983.8611031388009	975.1811505094813	0.8835221608298343
deviation_load[714]	1166.8079930586268	1164.0783558035207	0.8510617474222837
deviation_load[715]	1169.1786693006454	1158.5647337352834	0.9019901771091176
deviation_load[716]	1770.9522001096086	1775.4798238113199	0.9133594790135906
deviation_load[717]	1120.0071904730344	1126.069301985633	1.0771083606398442
deviation_load[718]	1113.7035876603918	1112.9909126738287	1.1479891572634653
deviation_load[719]	2041.9782077527743	2035.3658758376869	0.8631201802050912
deviation_load[720]	1268.622141993695	1260.433412561907	1.1037321004115934
population_intercept_at_load0	170.52172894372688	168.4791806350456	43.22461397019226
log_sigma_intercept_at_subject0	3939.2210402954324	3976.955585314958	0.032261766765018025
