trial	density_error	gradient_error
1	4.3655745685100555e-11	2.2093741056558156e-6
2	4.3655745685100555e-11	7.927290447962143e-7
3	4.3655745685100555e-11	1.4598145268774007e-6
4	5.820766091346741e-11	8.502156941614971e-7
