trial	density_error	gradient_error
1	4.3655745685100555e-11	1.847073946223104e-6
2	5.820766091346741e-11	9.435690222394774e-7
3	2.9103830456733704e-11	1.8970929764912524e-6
4	4.3655745685100555e-11	1.4299475448176224e-6
