trial	density_error	gradient_error
1	4.3655745685100555e-11	1.4494126733266555e-6
2	7.275957614183426e-11	2.797680401281167e-7
3	4.3655745685100555e-11	7.524212377596484e-7
4	4.3655745685100555e-11	5.618641985838391e-7
