group	cell	id	index	scale_index	length_index	selected	c
School effects	School 1	1	2	1	0	true	0.01
School effects	School 2	2	3	1	0	true	0.06
School effects	School 3	3	4	1	0	true	0.03
School effects	School 4	4	5	1	0	true	0.05
School effects	School 5	5	6	1	0	true	0.06
School effects	School 6	6	7	1	0	true	0.05
School effects	School 7	7	8	1	0	true	0.03
School effects	School 8	8	9	1	0	true	0.02
