case	arm	qois	draws	min_bulk_ess	limiting_qoi	min_tail_ess	max_split_rhat	divergences	sampling_gradients	all_fit_gradients	pilot_gradients	total_gradients	sampling_efficiency	total_efficiency	method	relative_sampling_efficiency	relative_total_efficiency
eight	ncp	10	10000	4839.400320780729	log_tau	3564.942558714608	1.0010734128799128	1	68688	70276	0	70276	0.07045481482618113	0.06886277421567433	NCP	1.0	1.0
eight	cp	10	10000	166.8721498172109	log_tau	84.89093478629219	1.0006723774624258	39	170284	174583	0	174583	0.000979963765340319	0.0009558327547195941	CP	0.013909109941712072	0.013880253382269784
eight	posthoc_position	10	10000	5380.203333230999	log_tau	3517.8694135275596	1.0001336118047743	0	69476	71020	70276	141296	0.07743973938095168	0.03807753463106528	Post-hoc position	1.099140485600637	0.5529480196631141
eight	posthoc_gradient	10	10000	3964.5080546891486	log_tau	3154.8258330236745	1.0005157255380945	0	86484	88018	70276	158294	0.045840942309434675	0.025045220000057794	Post-hoc gradient	0.6506431451495364	0.36369751705932696
eight	online_position	10	10000	5350.0713015294195	log_tau	4071.335919394698	1.0005305286494846	2	84824	86499	0	86499	0.06307261272198221	0.06185125032115307	Online position	0.8952207578373241	0.8981812165661297
eight	online_gradient	10	10000	4458.254812264295	log_tau	2896.2003345173366	1.0005520862488324	0	103102	104806	0	104806	0.043241205915154846	0.04253816396260037	Online gradient	0.6137438019223399	0.617723646006088
