case	arm	qois	draws	min_bulk_ess	limiting_qoi	min_tail_ess	max_split_rhat	divergences	sampling_gradients	all_fit_gradients	pilot_gradients	total_gradients	sampling_efficiency	total_efficiency	method	relative_sampling_efficiency	relative_total_efficiency
radon	ncp	777	10000	475.9790436725938	pop_mu_beta_pop.2	1069.6589738113635	1.0044553818822262	0	160352	164917	0	164917	0.002968338677862414	0.002886173309438043	NCP	1.0	1.0
radon	cp	777	10000	284.75056927026617	pop_mu_beta_pop.2	447.61612755939586	1.0030169346143254	0	150000	152546	0	152546	0.0018983371284684411	0.0018666537914482594	CP	0.6395284819168574	0.6467573466029
radon	posthoc_position	777	10000	475.7392254511738	pop_mu_beta_pop.2	876.2802245134556	1.00257293642112	0	150000	152269	164917	317186	0.003171594836341159	0.0014998746018146255	Post-hoc position	1.0684747195441713	0.5196758617751409
radon	posthoc_gradient	777	10000	600.4614078382747	pop_mu_beta_pop.2	1243.4869887672075	1.0058646172586805	0	150000	154468	164917	319385	0.004003076052255164	0.001880055130448439	Post-hoc gradient	1.348591413139519	0.6514006363722136
radon	online_position	777	10000	375.2566752306822	pop_mu_beta_pop.2	843.3779095780009	1.0036291386716605	0	150000	154539	0	154539	0.002501711168204548	0.0024282328423937145	Online position	0.8427984268985447	0.8413329977285763
radon	online_gradient	777	10000	330.8176595050066	pop_mu_beta_pop.2	879.7078063968504	1.0067014327650956	0	150000	154448	0	154448	0.0022054510633667105	0.002141935534969741	Online gradient	0.7429917211990511	0.7421368384100225
