qoi	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau	0.78746034205533	1.172485103313022	4458.254812264295	2896.2003345173366	1.0002825424883286
theta[1]	6.08721792820608	5.559648002169363	9316.77752833353	7946.023778933343	1.0004709341128388
theta[2]	4.954340261714768	4.731059922271893	10616.947099981064	8307.584976229868	0.9999725973201041
theta[3]	3.884238220710176	5.311323169739657	9708.712061154787	7412.0606627141615	1.000031664499595
theta[4]	4.7622939918451515	4.811231278093008	10791.987826536473	8207.099101288115	0.9999553087835608
theta[5]	3.643940901263717	4.636889075965652	10518.60566675205	8206.307529831776	1.0005520862488324
theta[6]	4.084271496172555	4.841779357956108	9640.378575038418	8167.229389120955	1.0000139153603345
theta[7]	6.318542268537003	5.1063894243783565	9547.971621646471	7832.175237758783	0.9999758002588266
theta[8]	4.821835436921651	5.184722568125097	9866.90388477761	8077.6285134369655	1.000260064837275
mu	4.39371301021623	3.331626835694988	8386.169332150153	6399.886651860621	0.9999695801351534
