coordinate	centeredness
1	1.0
2	1.0
3	1.0
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	0.9
13	1.0
14	0.9
15	1.0
16	1.0
17	1.0
18	0.9
19	1.0
20	1.0
21	1.0
22	1.0
23	1.0
24	0.9
25	1.0
26	1.0
27	1.0
28	1.0
29	0.4
30	0.7
31	0.7
32	0.7
33	0.7
34	0.2
35	1.0
36	0.2
37	0.6
38	0.5
39	0.7
40	0.5
