standardized_value	mixture	student	relative_error
-12	7.55555652520245e-08	7.55555652520245e-08	3.50335273297259e-16
-4	4.52265986019667e-06	4.52265986019667e-06	1.87286458287285e-16
-1	0.000102042513095687	0.000102042513095687	1.3281255767741e-16
0	0.000181408912170111	0.000181408912170111	1.49414127387086e-16
1	0.000102042513095687	0.000102042513095687	2.65625115354819e-16
4	4.52265986019667e-06	4.52265986019667e-06	1.87286458287285e-16
12	7.55555652520245e-08	7.55555652520245e-08	3.50335273297259e-16
