arm	recovery_seed	scope	min_bulk_ess	limiting_parameter	min_bulk_ess_per_1000_sampling_gradients	min_bulk_ess_per_1000_all_gradients
brms_ncp	0	original_physical46	83.74104966131779	log_tau_intercept	0.35640555695147164	0.3055673931542588
brms_ncp	0	original_physical_plus_raw_intercepts48	83.74104966131779	log_tau_intercept	0.35640555695147164	0.3055673931542588
brms_ncp	0	original_stan_ncp46	83.74104966131779	log_tau_intercept	0.35640555695147164	0.3055673931542588
scaled_total	101	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	101	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	101	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	102	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	102	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	102	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	103	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	103	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	103	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	104	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	104	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	104	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	105	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	105	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	105	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	106	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	106	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	106	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	107	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	107	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	107	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	108	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	108	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	108	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	109	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	109	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	109	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	110	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	110	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	110	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	111	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	111	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	111	original_stan_ncp46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	112	original_physical46	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
scaled_total	112	original_physical_plus_raw_intercepts48	96.23366761153939	log_tau_intercept	0.7572207258870971	0.7146842795616805
