parameter	bulk_ess	mean_ess	mcse	posterior_mean	posterior_sd
population_intercept_at_mean_load	129.53312271536436	131.65628282509223	42.432854236131895	5638.9910650738	486.8812387939936
population_load	536.4232174241685	534.6452808457891	0.661163712412412	58.46281568800384	15.287690381110272
log_tau_intercept	83.74104966131779	82.53029586549887	0.016702562396953863	7.831075042407582	0.15173640971586988
log_tau_load	436.0851940783442	435.9411263184636	0.010445885618230117	4.080487180951077	0.21810176843988532
log_sigma_intercept	3409.280964466746	3369.8243213061796	0.00026085090707818245	6.051096673535706	0.015142444183436259
log_sigma_subj_slope	4888.062996665305	4928.801500940869	4.005211101166372e-5	0.07826013586507267	0.0028118754191019464
deviation_intercept[701]	129.30068750570135	131.04235958852433	42.645742533518934	-4878.60184745642	488.1817421092328
deviation_intercept[702]	128.60032208022645	130.44128452870146	42.50829165424982	-3938.231141581711	485.4910019152344
deviation_intercept[703]	127.75745890324438	129.81452035900742	42.63514800185704	-3657.705290319527	485.7685695541286
deviation_intercept[704]	128.03368027691116	129.82462222364538	42.573820168245206	-676.989595979162	485.08869681086384
deviation_intercept[705]	128.38349430571841	130.25063543165075	42.78617313381966	-1374.3448885021953	488.30747167829276
deviation_intercept[706]	125.75657725597777	127.68031436548377	43.1207027964569	18.63778730918163	487.2454611005086
deviation_intercept[707]	128.71424697153097	130.68957769099032	42.583055472889754	-109.35498500917531	486.8075414640209
deviation_intercept[708]	128.7739696297202	130.67378333592865	42.57873142923741	-474.75178388165205	486.7286949797544
deviation_intercept[709]	128.5373315720749	130.51360027669318	42.52685872439862	-1166.3376846623205	485.83767464126583
deviation_intercept[710]	130.08349893624194	131.63696297145484	42.71823364762987	161.30881613130384	490.1197618334173
deviation_intercept[711]	129.493210307523	130.8166689909882	42.80519460516354	-1757.1571728535653	489.5849049544153
deviation_intercept[712]	131.4395539914621	133.31180136097248	42.22536350137572	1069.5570716152783	487.5371287794863
deviation_intercept[713]	132.14998123543552	133.69065872562334	42.32149224684973	3863.378678992469	489.3408860440341
deviation_intercept[714]	129.0740564201586	130.87385688287185	43.09421991859883	125.23931577279778	492.9983597045023
deviation_intercept[715]	131.77887504688005	133.6236542342364	42.767783677525614	889.5076406782405	494.3771811169811
deviation_intercept[716]	134.29852304681677	136.7320293885484	42.88135664946372	742.991437669591	501.42230230513644
deviation_intercept[717]	133.46908687556524	135.28869044796966	42.34921166129633	1462.307401229219	492.5792087193883
deviation_intercept[718]	131.41014009159855	133.49073748909885	43.044875136486105	1286.8131766065485	497.3327036638355
deviation_intercept[719]	133.678889363269	135.3558812882261	42.91639445249842	4665.179455478173	499.30026177034375
deviation_intercept[720]	137.15525953321324	138.4466017952027	42.480888997442904	3285.200707619067	499.8443032803477
deviation_load[701]	1013.7584637641705	1013.0148902676608	0.7115633832560315	-22.986544106388568	22.647564537862106
deviation_load[702]	769.3644084454239	764.3355300376195	0.6679653970919683	-36.0433630227242	18.46698469249033
deviation_load[703]	791.2259701533937	791.306942894215	0.6820736924139648	-37.58791194511256	19.186854723243034
deviation_load[704]	796.7960821197096	794.5037951359038	0.7038563805459868	11.244525706894516	19.83956017119734
deviation_load[705]	834.6731774055294	830.2949430558973	0.7352237664024961	-20.707906514785826	21.185354412698874
deviation_load[706]	857.2022653896072	854.0241520652372	0.6989575880240778	-5.907667641346827	20.426121009840422
deviation_load[707]	917.2608133219267	916.6833445168763	0.7131447273473199	-0.6713488447397296	21.59172528020214
deviation_load[708]	967.9256228626059	965.3754797668516	0.7154781637434339	-24.397726987478762	22.23025863927173
deviation_load[709]	1156.0833541018033	1149.5361224434457	0.6829066121308787	-43.59185675805342	23.153818743788538
deviation_load[710]	1142.737252093183	1137.5292495654555	0.7461287309955846	-73.90916484509985	25.1648907831715
deviation_load[711]	1013.4381821800174	1015.8100145332368	0.8124054164435169	13.960907615875264	25.892802296060562
deviation_load[712]	1358.1318347479978	1357.7442885251237	0.7381163373151995	115.98212698309007	27.197802157376028
deviation_load[713]	1330.5730011230942	1322.644877697289	0.7520247194707824	-12.032383004455376	27.34977409647058
deviation_load[714]	1390.907921390214	1387.5853088084634	0.7712135536376349	-2.6741009422181543	28.72794098561857
deviation_load[715]	1607.1349055063804	1607.3029686843126	0.772086502019878	-41.56217520092604	30.953861382436987
deviation_load[716]	1886.0718294326969	1872.4377788489342	0.8882926935341138	-33.769479396408514	38.43791193419265
deviation_load[717]	1347.4250005717633	1346.9167834944813	0.9234447214642799	92.51094927177796	33.89075823896041
deviation_load[718]	1355.0227974897493	1345.700454032584	1.0234548642710535	111.7642995683018	37.54420338889153
deviation_load[719]	1259.0006335509395	1279.4755169999776	1.0539149971348551	-31.037278738684837	37.698283363272175
deviation_load[720]	2018.8341670388988	2031.6317066831443	0.8316488436440531	42.26526672224624	37.4854284426041
population_intercept_at_load0	127.18688453005642	129.20350120616888	42.67567709200137	5493.1751464121135	485.08468301455974
log_sigma_intercept_at_subject0	4889.903708862329	4927.571317677263	0.028471473959670927	-49.574472688086985	1.998602426428763
