point	density_error	gradient_error
1	7.639755494892597e-11	2.4682288506140813e-8
2	8.003553375601768e-11	7.650084784745554e-8
3	7.275957614183426e-11	5.486177342397378e-8
4	7.639755494892597e-11	8.874014352901423e-8
5	6.912159733474255e-11	2.551944122945103e-8
6	7.275957614183426e-11	6.107166517758508e-8
7	7.275957614183426e-11	6.410906006202714e-8
8	7.275957614183426e-11	8.52326567733374e-8
