parameter	bulk_ess	tail_ess	split_rhat
b.1	536.4232174241685	713.5779155186179	1.0011738508989976
Intercept	129.53312271536436	192.01476354001863	1.026398620335412
b_sigma.1	4888.062996665305	1383.1042771306684	1.0035437786586807
Intercept_sigma	3409.280964466746	1028.6108363633502	0.9998720274694772
sd_1.1	83.74104966131779	163.03517768578172	1.0009268461778908
sd_1.2	436.0851940783442	798.2814252486326	1.0010406359248945
z_1.1.1	121.6283091545937	226.8775820335763	1.0028425708201705
z_1.2.1	1072.4255992570936	1071.4186771518278	1.000186692166705
z_1.1.2	127.96881100119813	234.97949340495907	1.00470705473757
z_1.2.2	679.1287487634804	1170.9103936921845	1.0005097168493444
z_1.1.3	129.8147377713476	240.57163869524996	1.0055926849415433
z_1.2.3	742.1907305686539	1238.3604814450146	1.0001539420711252
z_1.1.4	138.15885999087027	179.95913587948215	1.0229303889824937
z_1.2.4	809.8554930976601	1167.459927494731	1.0003017279975457
z_1.1.5	140.89629102341542	229.15782233268996	1.0182072072284014
z_1.2.5	820.7199524781618	1061.6029123558142	1.0016346702073478
z_1.1.6	128.50489313060194	196.51408166420256	1.0265456713328256
z_1.2.6	885.1492339838742	1013.0853862127165	1.001725598751391
z_1.1.7	133.37963301441758	205.92926613316723	1.025193022160497
z_1.2.7	935.1823241669309	1079.1571427707297	1.00056540522678
z_1.1.8	137.32327110742762	174.6640041784834	1.0238899053367287
z_1.2.8	943.4404403604998	1302.1017412925441	0.9996818865629175
z_1.1.9	141.39938599166382	229.6588220305255	1.0208534236040232
z_1.2.9	1029.5723254571235	1395.8508564393578	1.0003388095183843
z_1.1.10	131.39950186249135	214.8551593365602	1.0241947028972562
z_1.2.10	906.160776578297	1296.5400251994072	0.9997498199618109
z_1.1.11	143.01813593003033	222.5937580327923	1.0167810627947507
z_1.2.11	992.0513976747868	1051.6118561667013	1.0026855942286284
z_1.1.12	119.46122061116519	238.73891591507626	1.0212527329436538
z_1.2.12	749.1697335621773	1242.6656843539101	0.9998537146652116
z_1.1.13	89.79882883278462	114.63232126738785	1.0129931485385424
z_1.2.13	1360.0556729352033	1431.1619776987213	0.9999204734464132
z_1.1.14	131.15569141542937	204.44041508332649	1.0252329019541602
z_1.2.14	1478.1848493591704	1357.864087683332	0.9998953066949966
z_1.1.15	122.10580089714603	257.5932140696661	1.0215989640645873
z_1.2.15	1537.1863500021798	1632.731215849287	0.9997644053787678
z_1.1.16	126.77611318496687	265.63760704807993	1.0225371451081222
z_1.2.16	2009.6409664144956	1377.8195086205378	0.9998269471120842
z_1.1.17	107.75050134623224	229.08618412699408	1.0226507780264689
z_1.2.17	1294.9094217547422	1408.5131217076264	1.0026659276658243
z_1.1.18	104.56697114908161	223.56507206144067	1.022597497286669
z_1.2.18	1647.4295713237293	1455.3892947404204	1.0006715176032033
z_1.1.19	86.684949568434	108.00750190144998	1.0106660051458212
z_1.2.19	1246.6439843314772	1091.6082268523928	0.9995111063253198
z_1.1.20	93.1377211840063	122.65787229700533	1.0147420756459176
z_1.2.20	2028.3595725955558	1521.112238010997	1.0004651895908967
