arm	parameter	mean	baseline_mean	mcse	baseline_mcse	z
ordinary_cp	population_mean	-49.96342195118559	-49.70074734560424	0.18258574713403922	0.19693232219838175	0.978116414514034
ordinary_cp	between_trial_sd	14.668873524207124	14.497537437984272	0.256870707972833	0.22105931983408203	0.5055728594794467
ordinary_cp	trial_1_total	-50.02225526599613	-49.8845254497704	0.11024938315862953	0.08246017568582459	1.0003928409430722
ordinary_cp	trial_2_total	-48.69103168465933	-48.748245191127005	0.08357161901490928	0.05598593673291054	0.5687710456105638
ordinary_cp	trial_3_total	-38.41252418327712	-38.620723976498944	0.09155530159587968	0.061742174501994755	1.88537975945549
ordinary_cp	trial_4_total	-48.85451675831205	-48.29817313543649	0.1412303015212813	0.138420807215136	2.813323350690495
ordinary_cp	trial_5_total	-63.939733706713255	-63.862803661348785	0.38778899985771653	0.2839706149578454	0.16005585190877722
ordinary_cp	trial_6_total	-51.443115926328886	-51.587565003208375	0.13578767016958002	0.10265477576846316	0.8485810875789851
ordinary_ncp	population_mean	-49.332747669085855	-49.70074734560424	0.43340202596810984	0.19693232219838175	0.7730340953432135
ordinary_ncp	between_trial_sd	14.86521610456172	14.497537437984272	0.49643872573557307	0.22105931983408203	0.6765860022706799
ordinary_ncp	trial_1_total	-49.9418209061578	-49.8845254497704	0.08624459452984573	0.08246017568582459	0.4801739291811865
ordinary_ncp	trial_2_total	-48.847161367900405	-48.748245191127005	0.05582814347543704	0.05598593673291054	1.2510808940641889
ordinary_ncp	trial_3_total	-38.543784472803445	-38.620723976498944	0.06273776032407943	0.061742174501994755	0.8740799054602479
ordinary_ncp	trial_4_total	-48.42239118332837	-48.29817313543649	0.13905520164554092	0.138420807215136	0.6331011809321119
ordinary_ncp	trial_5_total	-63.85537106928318	-63.862803661348785	0.29143104107185036	0.2839706149578454	0.018266178062361454
ordinary_ncp	trial_6_total	-51.39403148979385	-51.587565003208375	0.10713945305710336	0.10265477576846316	1.3043028321483559
ordinary_online_gradient	population_mean	-49.68259928271959	-49.70074734560424	0.21281884512583474	0.19693232219838175	0.0625891282609267
ordinary_online_gradient	between_trial_sd	14.63906359696128	14.497537437984272	0.19936150319874302	0.22105931983408203	0.47543361251786304
ordinary_online_gradient	trial_1_total	-49.90389238411671	-49.8845254497704	0.07949234925246271	0.08246017568582459	0.16908895709839875
ordinary_online_gradient	trial_2_total	-48.7550708992462	-48.748245191127005	0.055918344518012794	0.05598593673291054	0.0862612862186095
