index	centeredness	loss	admissible
3	0.0	-1.2121876130126148	true
3	0.01	-1.2196488888282366	true
3	0.02	-1.2271215595440248	true
3	0.03	-1.2346054105584194	true
3	0.04	-1.242100209874458	true
3	0.05	-1.2496057073236089	true
3	0.06	-1.2571216337603779	true
3	0.07	-1.2646477002268872	true
3	0.08	-1.272183597086633	true
3	0.09	-1.2797289931266438	true
3	0.1	-1.2872835346272726	true
3	0.11	-1.2948468443988803	true
3	0.12	-1.302418520784694	true
3	0.13	-1.309998136629159	true
3	0.14	-1.3175852382111355	true
3	0.15	-1.325179344141347	true
3	0.16	-1.3327799442235353	true
3	0.17	-1.3403864982788407	true
3	0.18	-1.3479984349330056	true
3	0.19	-1.35561515036607	true
3	0.2	-1.3632360070243357	true
3	0.21	-1.3708603322944721	true
3	0.22	-1.3784874171397603	true
3	0.23	-1.3861165146986054	true
3	0.24	-1.3937468388455951	true
3	0.25	-1.4013775627155467	true
3	0.26	-1.4090078171911726	true
3	0.27	-1.4166366893551838	true
3	0.28	-1.4242632209078885	true
3	0.29	-1.431886406551569	true
3	0.3	-1.4395051923431965	true
3	0.31	-1.4471184740173217	true
3	0.32	-1.454725095281303	true
3	0.33	-1.4623238460853631	true
3	0.34	-1.4699134608703348	true
3	0.35	-1.4774926167963527	true
3	0.36	-1.485059931956169	true
3	0.37	-1.4926139635772278	true
3	0.38	-1.5001532062171083	true
3	0.39	-1.5076760899574797	true
3	0.4	-1.5151809786022419	true
3	0.41	-1.5226661678861126	true
3	0.42	-1.5301298837005386	true
3	0.43	-1.5375702803444324	true
3	0.44	-1.5449854388079376	true
3	0.45	-1.5523733650980882	true
3	0.46	-1.5597319886159957	true
3	0.47	-1.5670591605959108	true
3	0.48	-1.5743526526173068	true
3	0.49	-1.5816101552019053	true
3	0.5	-1.5888292765083667	true
3	0.51	-1.5960075411381813	true
3	0.52	-1.6031423890670946	true
3	0.53	-1.6102311747172096	true
3	0.54	-1.6172711661856798	true
3	0.55	-1.6242595446466757	true
3	0.56	-1.6311934039440188	true
3	0.57	-1.6380697503925552	true
3	0.58	-1.6448855028069462	true
3	0.59	-1.6516374927770916	true
3	0.6	-1.6583224652098438	true
3	0.61	-1.6649370791570057	true
3	0.62	-1.6714779089498126	true
3	0.63	-1.6779414456601764	true
3	0.64	-1.6843240989088615	true
3	0.65	-1.690622199040496	true
3	0.66	-1.6968319996848433	true
3	0.67	-1.7029496807230584	true
3	0.68	-1.7089713516767127	true
3	0.69	-1.7148930555361965	true
3	0.7	-1.7207107730436104	true
3	0.71	-1.7264204274435233	true
3	0.72	-1.7320178897129073	true
3	0.73	-1.7374989842791833	true
3	0.74	-1.7428594952326226	true
3	0.75	-1.7480951730363543	true
3	0.76	-1.7532017417338757	true
3	0.77	-1.7581749066503458	true
3	0.78	-1.7630103625799944	true
3	0.79	-1.7677038024477763	true
3	0.8	-1.7722509264289283	true
3	0.81	-1.7766474515054191	true
3	0.82	-1.7808891214334128	true
3	0.83	-1.7849717170908976	true
3	0.84	-1.7888910671695666	true
3	0.85	-1.792643059169964	true
3	0.86	-1.7962236506539149	true
3	0.87	-1.7996288807033503	true
3	0.88	-1.8028548815299894	true
3	0.89	-1.8058978901759262	true
3	0.9	-1.8087542602411735	true
3	0.91	-1.8114204735706343	true
3	0.92	-1.8138931518299555	true
3	0.93	-1.8161690678972833	true
3	0.94	-1.818245156996222	true
3	0.95	-1.8201185274942924	true
3	0.96	-1.8217864712910168	true
3	0.97	-1.8232464737204097	true
3	0.98	-1.8244962228942039	true
3	0.99	-1.8255336184145592	true
3	1.0	-1.82635677938835	true
4	0.0	-1.0934943622539386	true
4	0.01	-1.0991204033698136	true
4	0.02	-1.104731661276137	true
4	0.03	-1.1103275865012439	true
4	0.04	-1.115907614596549	true
4	0.05	-1.1214711658785215	true
4	0.06	-1.1270176451734517	true
4	0.07	-1.1325464415655775	true
4	0.08	-1.1380569281491628	true
4	0.09	-1.1435484617851657	true
4	0.1	-1.1490203828631576	true
4	0.11	-1.1544720150691998	true
4	0.12	-1.1599026651604034	true
4	0.13	-1.1653116227469562	true
4	0.14	-1.1706981600824147	true
4	0.15	-1.1760615318631136	true
4	0.16	-1.1814009750375731	true
4	0.17	-1.1867157086268196	true
4	0.18	-1.1920049335565848	true
4	0.19	-1.19726783250237	true
4	0.2	-1.2025035697484108	true
4	0.21	-1.2077112910616057	true
4	0.22	-1.2128901235815164	true
4	0.23	-1.2180391757275706	true
4	0.24	-1.2231575371246413	true
4	0.25	-1.2282442785482077	true
4	0.26	-1.2332984518903212	true
4	0.27	-1.2383190901476469	true
4	0.28	-1.2433052074328634	true
